qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
553.0,555.0,,,,,,,,P6(Bassoon 2),P6(Bassoon 1),P8(Main),P3(C Horn 2),P3(C Horn 1),,,,,,,P8(Violin 2),P8(Violin 1),Main Part,P8(Contrabass),P8(Violoncello)
555.0,562.0,,,,P8(Bassoon 1),P8(Bassoon 2),,,P8(Oboe 1),P8(Oboe 2),,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
562.0,564.0,,,,P8(Bassoon 1)&U(Main)&P8(Viola),P8(Bassoon 2)&P4(C Horn 1)&P3(C Horn 2)&U(Violin 2)&P3(Violoncello)&P3(Contrabass),,,P8(Oboe 1)&P8(Main)&U(Viola),P8(Oboe 2)&P4(C Horn 1)&P3(C Horn 2)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),,P4(Oboe 2)&P4(Bassoon 2)&P2(C Horn 2)&P4(Violin 2)&P2(Violoncello)&P2(Contrabass),P3(Oboe 2)&P3(Bassoon 2)&P2(C Horn 1)&P3(Violin 2)&U(Violoncello)&P8(Contrabass),,,,,,,Main Part,U(Oboe 2)&P8(Bassoon 2)&P4(C Horn 1)&P3(C Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Oboe 1)&U(Bassoon 1)&P8(Main),P3(Oboe 2)&P3(Bassoon 2)&P2(C Horn 1)&U(C Horn 2)&P3(Violin 2)&P8(Contrabass),P3(Oboe 2)&P3(Bassoon 2)&P2(C Horn 1)&P8(C Horn 2)&P3(Violin 2)&P8(Violoncello)
564.0,577.0,,,P8(Contrabassoon),,,P3(C Clarinet 2)&P3(Alto Trombone)&P8(Tenor Trombone)&P3(Bass Trombone),P3(C Clarinet 1)&U(Alto Trombone)&P3(Tenor Trombone)&P8(Bass Trombone),,,P8(Flute 2),,,,"P8(C, G Timpani)",P3(C Clarinet 1)&U(C Clarinet 2)&P3(Tenor Trombone)&P8(Bass Trombone),P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Alto Trombone)&P3(Bass Trombone),P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Alto Trombone)&P3(Tenor Trombone),P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
577.0,592.0,,,,,,,,,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),,P8(C Horn 1),,,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
592.0,608.0,,,,,,P3(Bassoon 2)&U(Viola),,,P3(C Clarinet 1)&P3(Viola),,,,,,,,,,Main Part,,U(C Clarinet 1)&P3(Bassoon 2),,
608.0,624.0,,"U(Flute 2)&U(Oboe 2)&P3(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)","U(Flute 1)&U(Oboe 2)&P3(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)",,"U(Flute 1)&U(Flute 2)&P3(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)",P8(Viola),,,,"P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C, G Timpani)&U(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P3(Contrabassoon)&U(C Horn 2)&P8(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P3(Contrabassoon)&U(C Horn 1)&P8(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)","U(Flute 1)&U(Flute 2)&U(Oboe 2)&P3(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&P8(C, G Timpani)&P3(Contrabass)",,,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P3(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P3(Contrabass),Main Part,,P8(C Clarinet 1),,"P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C, G Timpani)"
624.0,640.0,,U(Oboe 1)&P8(Alto Trombone)&U(Main)&P8(Violin 2),U(Oboe 2)&P3(Contrabassoon)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),U(Flute 1)&P8(Alto Trombone)&U(Main)&P8(Violin 2),U(Flute 2)&P3(Contrabassoon)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),,,P8(Bassoon 2),P8(Bassoon 1),P3(Flute 2)&P3(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),P3(Contrabassoon)&U(C Horn 2)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),P3(Contrabassoon)&U(C Horn 1)&P3(Bass Trombone)&P3(Violoncello)&P3(Contrabass),,,P8(Flute 1)&P8(Oboe 1)&P8(Main)&U(Violin 2),,P3(Flute 2)&P3(Oboe 2)&P8(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P8(Violoncello)&P8(Contrabass),,Main Part,P8(Flute 1)&P8(Oboe 1)&U(Alto Trombone)&P8(Main),,P3(Flute 2)&P3(Oboe 2)&P8(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P8(Bass Trombone)&P8(Contrabass),P3(Flute 2)&P3(Oboe 2)&U(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P8(Bass Trombone)&P8(Violoncello)
640.0,656.0,,Main Part,,P8(C Clarinet 1),P8(C Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1)&P8(C Trumpet 2),,P8(C Horn 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1),,,,,U(Main),,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
656.0,664.0,P8(C Clarinet 2)&P8(Bassoon 2)&P8(Alto Trombone)&P8(Violin 1),Main Part,P8(Viola),P8(Main)&P8(Bassoon 1),"U(C Clarinet 1)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Tenor Trombone)&P4(C, G Timpani)","U(Oboe 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Tenor Trombone)&P4(C, G Timpani)",P8(Piccolo)&P8(Bassoon 2)&P8(Alto Trombone)&P8(Violin 1),P8(Main)&P8(Oboe 1),P8(Piccolo)&P8(C Clarinet 2)&P8(Alto Trombone)&P8(Violin 1),P8(Violoncello)&U(Contrabass),"P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P4(Tenor Trombone)&P8(C, G Timpani)","P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Tenor Trombone)&U(C, G Timpani)","P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P4(Tenor Trombone)&P8(C, G Timpani)","P4(Oboe 2)&P4(C Clarinet 1)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P4(Tenor Trombone)&P8(C, G Timpani)",P8(Piccolo)&P8(C Clarinet 2)&P8(Bassoon 2)&P8(Violin 1),"P8(Oboe 2)&P8(C Clarinet 1)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)",,P4(Oboe 2)&P4(C Clarinet 1)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Tenor Trombone),P8(Piccolo)&P8(C Clarinet 2)&P8(Bassoon 2)&P8(Alto Trombone),,P8(Flute 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
664.0,676.0,,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2),P6(C Clarinet 2)&P6(Bassoon 2)&P4(C Horn 2),P6(C Clarinet 1)&P8(Bassoon 2)&P3(C Horn 2),P8(Flute 1)&P8(Oboe 1),P6(C Clarinet 1)&P8(C Clarinet 2)&P3(C Horn 2),P8(Violoncello)&U(Contrabass),,P4(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2),,"P8(C, G Timpani)",P6(Tenor Trombone)&P3(Bass Trombone),P6(Alto Trombone)&P4(Bass Trombone),P3(Alto Trombone)&P4(Tenor Trombone),P8(C Trumpet 2),Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
676.0,696.0,Main Part,,,,,P6(C Clarinet 2)&P6(Alto Trombone),P6(C Clarinet 1)&U(Alto Trombone),,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),P6(C Clarinet 1)&U(C Clarinet 2),,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
696.0,703.0,,P8(Bassoon 1),P8(Bassoon 2),P3(Oboe 2),P3(Oboe 1),P6(C Clarinet 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P6(Alto Trombone)&P6(Tenor Trombone)&P6(Bass Trombone),P6(C Clarinet 1)&P4(C Trumpet 1)&P4(C Trumpet 2)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone),P8(Flute 1),P8(Flute 2),U(Contrabass),P8(C Horn 2),P8(C Horn 1),P3(C Clarinet 1)&P4(C Clarinet 2)&P8(C Trumpet 2)&P4(Alto Trombone)&P4(Tenor Trombone)&P4(Bass Trombone),P3(C Clarinet 1)&P4(C Clarinet 2)&P8(C Trumpet 1)&P4(Alto Trombone)&P4(Tenor Trombone)&P4(Bass Trombone),P6(C Clarinet 1)&U(C Clarinet 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Tenor Trombone)&P8(Bass Trombone),P6(C Clarinet 1)&P8(C Clarinet 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Alto Trombone)&P8(Bass Trombone),P6(C Clarinet 1)&P8(C Clarinet 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Alto Trombone)&P8(Tenor Trombone),,Main Part,,,,U(Contrabassoon)
703.0,711.0,,,,,,,,,,,,,,,,,,,Main Part,,U(Violoncello),U(Viola),
711.0,721.0,,,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,Main Part,,,,
721.0,725.0,,,,Main Part,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,,,
725.0,729.0,,Main Part,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,,,
729.0,733.0,,,,Main Part,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,,,
733.0,744.0,,Main Part,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,,,
744.0,763.0,,Main Part,,,,,P4(Contrabassoon)&P4(Contrabass),,,P4(C Clarinet 2)&U(Contrabass),,,,,,,,,,,,,P4(C Clarinet 2)&U(Contrabassoon)
763.0,771.0,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),P8(Violoncello)&U(Contrabass),,,,,,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
771.0,773.0,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Violoncello)&U(Contrabass),,,,,,,,,,Main Part,,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
773.0,775.0,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Violoncello)&U(Contrabass),,,,,,,,,P8(Violin 2),P8(Violin 1),Main Part,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
775.0,783.0,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Violoncello)&U(Contrabass),,,,,,,,,Main Part,,,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
783.0,785.0,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P4(Contrabassoon)&P4(Violoncello)&P4(Contrabass),,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P8(Violoncello)&U(Contrabass),,,,,,,,,,Main Part,,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&U(Contrabassoon)&P8(Violoncello)
785.0,787.0,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P4(Contrabassoon)&P4(Contrabass),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P4(Contrabassoon)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(C Clarinet 1)&P8(C Clarinet 2)&P4(Contrabassoon)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 1)&U(C Clarinet 2)&P4(Contrabassoon)&P4(Contrabass),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 2)&P4(Contrabassoon)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(C Clarinet 1)&P4(Contrabassoon)&P4(Contrabass),,U(Alto Trombone)&U(Tenor Trombone)&P5(Violin 2),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&U(Contrabass),,,,,U(Bassoon 2)&U(Tenor Trombone)&P5(Violin 2),U(Bassoon 2)&U(Alto Trombone)&P5(Violin 2),,,,P5(Bassoon 2)&P5(Alto Trombone)&P5(Tenor Trombone),Main Part,,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P4(C Clarinet 2)&U(Contrabassoon)
