qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
1071.5,1078.75,Main Part,U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),,U(Flute 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),U(Flute 2)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 2),,P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2),,,,,,,,,,
1078.75,1087.75,Main Part,,,,P8(A Clarinet 2),P8(A Clarinet 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1087.75,1096.75,P8(Oboe 1),,P8(Flute 1),,Main Part,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1096.75,1105.75,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1105.75,1112.0,,,Main Part,,,P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2),,P8(A Clarinet 2)&P4(A Horn 1)&P4(A Horn 2),P4(A Clarinet 2)&P4(Bassoon 2)&P8(A Horn 2),P4(A Clarinet 2)&P4(Bassoon 2)&P8(A Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
1112.0,1127.0,P3(Oboe 1),,P3(Flute 1),,Main Part,,,,P8(A Horn 2),P8(A Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
1127.0,1139.75,U(Flute 2),U(Flute 1),,P8(Bassoon 1),,,P8(Oboe 2),,P8(A Horn 2),P8(A Horn 1),,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1139.75,1151.75,U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1),U(Flute 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(A Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1),P8(Oboe 1)&P8(A Clarinet 2),,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1151.75,1163.0,U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1),U(Flute 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(A Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1),P8(Oboe 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1),,,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1163.0,1175.0,Main Part,,,,,,,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
1175.0,1187.0,Main Part,P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Main),P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1),,,P8(A Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),U(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
1187.0,1199.0,Main Part,P8(Main),P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Oboe 1)&P8(A Clarinet 1)&U(A Clarinet 2),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2),P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1),U(Bassoon 2),U(Bassoon 1),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
1199.0,1216.25,U(Flute 2),U(Flute 1),Main Part,P8(Main)&U(A Clarinet 1)&P8(A Clarinet 2),P8(Main)&U(Oboe 2)&P8(A Clarinet 2),P8(Main)&P8(Oboe 2)&P8(A Clarinet 1),U(Bassoon 2),U(Bassoon 1),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2),P8(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
1216.25,1229.75,,U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 1),P8(A Horn 2),P8(A Horn 1),,,,Main Part,P8(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1229.75,1247.0,Main Part,P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),P8(A Horn 2),P8(A Horn 1),P4(Flute 2)&P8(D Trumpet 2)&P8(Timpani),P4(Flute 2)&P8(D Trumpet 1)&P8(Timpani),P4(Flute 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1247.0,1270.5,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1270.5,1288.5,,P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2),P8(A Clarinet 2)&P8(Bassoon 1),P8(Flute 2)&U(A Clarinet 1)&P8(Bassoon 2),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 1)&P8(A Clarinet 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1),P8(A Horn 2)&P8(Timpani),P8(A Horn 1)&P8(Timpani),,,P8(A Horn 1)&P8(A Horn 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1288.5,1314.5,,,,,,,,,P8(A Horn 2),P8(A Horn 1),U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1314.5,1328.0,P8(A Clarinet 1)&P8(Bassoon 1),,Main Part,,P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(A Clarinet 1),,P8(A Horn 2)&P8(Violin 1)&U(Violin 2)&P8(Violoncello),P8(A Horn 1)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello),,,,P8(A Horn 1)&P8(A Horn 2)&P8(Violin 2)&P8(Violoncello),U(A Horn 1)&P8(A Horn 2)&P8(Violin 1)&P8(Violoncello),,P8(A Horn 1)&P8(A Horn 2)&P8(Violin 1)&P8(Violin 2),
1328.0,1339.5,P8(A Clarinet 1)&P8(Bassoon 1),,Main Part,,P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(A Clarinet 1),,P8(A Horn 2),P8(A Horn 1),,,,,,,,
1339.5,1345.5,,,Main Part,,,,,,,,,,,P3(Violin 2)&P8(Viola),P3(Violin 1)&P3(Viola),P8(Violin 1)&P3(Violin 2),,
1345.5,1351.5,Main Part,,,,,,,,,,,,,P8(Viola),,P8(Violin 1),,
1351.5,1357.5,,,,,Main Part,,,,,,,,,P8(Viola),,P8(Violin 1),,
1357.5,1360.5,,,,,,,Main Part,,,,,,,P3(Violin 2)&P8(Viola)&P4(Violoncello),P3(Violin 1)&P3(Viola)&P6(Violoncello),P8(Violin 1)&P3(Violin 2)&P4(Violoncello),P4(Violin 1)&P6(Violin 2)&P4(Viola),
1360.5,1363.5,,,,,Main Part,,,,,,,,P8(Violoncello),P3(Violin 2)&P8(Viola),P3(Violin 1)&P3(Viola),P8(Violin 1)&P3(Violin 2),P8(Timpani),
1363.5,1366.5,,,Main Part,,,,,,,,,,P3(Viola)&P8(Violoncello),P3(Violin 2),P3(Violin 1),P3(Timpani)&P3(Violoncello),P8(Timpani)&P3(Viola),
1366.5,1369.5,Main Part,,,,,,,,,,,,P8(Violoncello),,,,P8(Timpani),
1369.5,1382.0,,,,,,,,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),P8(Violoncello),Main Part,,,P8(Timpani),
1382.0,1387.0,P8(Oboe 2)&P8(A Clarinet 2),U(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Violin 2),U(Flute 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Violin 2),P8(Flute 1)&P8(A Clarinet 2),P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 1)&P8(Violin 2),P8(Flute 1)&P8(Oboe 2),P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(Violin 2),P3(D Trumpet 2)&P8(Violoncello)&P8(Contrabass),P8(A Horn 2)&P8(Timpani)&P3(Viola),P8(A Horn 1)&P8(Timpani)&P3(Viola),,P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(A Horn 1)&P8(A Horn 2)&P3(Viola),Main Part,P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 1),P3(A Horn 1)&P3(A Horn 2)&P3(Timpani),P8(Bassoon 2)&P3(D Trumpet 2)&P8(Contrabass),P8(Bassoon 2)&P3(D Trumpet 2)&P8(Violoncello)
1387.0,1398.0,,P3(Bassoon 2),P3(Bassoon 2),,P8(Bassoon 1),,P8(A Clarinet 1),P3(Flute 2)&P3(Oboe 1),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1398.0,1406.0,Main Part,,P8(A Clarinet 2),,P8(Main),P8(Oboe 1),,P4(A Horn 1)&P4(A Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P4(Bassoon 2)&P8(A Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P4(Bassoon 2)&P8(A Horn 1)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),U(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
1406.0,1418.0,Main Part,,P8(A Clarinet 1)&P8(Bassoon 1),,P8(Oboe 1)&P8(Bassoon 1),,P8(Oboe 1)&P8(A Clarinet 1),,,,P8(D Trumpet 2),P8(D Trumpet 1),,U(Main),,,P8(Contrabass),P8(Violoncello)
1418.0,1433.0,Main Part,,,,,,,,,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
1433.0,1439.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2)&U(A Horn 1)&P8(A Horn 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2)&P8(A Horn 1)&U(A Horn 2),P8(Flute 2)&U(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 2),P8(Flute 2)&P8(A Clarinet 2)&U(Bassoon 2)&P8(A Horn 1),,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1439.0,1451.0,Main Part,P8(Bassoon 2),P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Oboe 1)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),,,,P8(Flute 2),P8(A Horn 2),P8(A Horn 1),P8(Oboe 1)&U(Oboe 2)&U(D Trumpet 2)&P8(Timpani),P8(Oboe 1)&U(Oboe 2)&U(D Trumpet 1)&P8(Timpani),P8(Oboe 1)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1451.0,1475.0,,,,,,,,,P8(A Horn 2)&P8(Timpani),P8(A Horn 1)&P8(Timpani),,,P8(A Horn 1)&P8(A Horn 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1475.0,1504.5,,P3(Bassoon 2),,,U(A Clarinet 2),U(A Clarinet 1),,P3(Flute 2),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1504.5,1517.0,Main Part,,,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,
1517.0,1523.0,,P3(Oboe 2)&P6(A Clarinet 2)&P6(Bassoon 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani)&P6(Contrabass),Main Part,P3(Flute 2)&P4(A Clarinet 2)&P4(Bassoon 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani)&P4(Contrabass),P8(Bassoon 1),P6(Flute 2)&P4(Oboe 2)&P8(Bassoon 2)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(A Clarinet 1),P6(Flute 2)&P4(Oboe 2)&P8(A Clarinet 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(A Horn 2),P8(A Horn 1),P6(Flute 2)&P4(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2)&U(D Trumpet 2)&P8(Timpani)&P8(Contrabass),P6(Flute 2)&P4(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2)&U(D Trumpet 1)&P8(Timpani)&P8(Contrabass),P6(Flute 2)&P4(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Contrabass),,,,,P6(Flute 2)&P4(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)
1523.0,1535.0,Main Part,,P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2)&U(A Horn 1)&P8(A Horn 2),P8(A Clarinet 1),P8(Oboe 1)&P8(A Clarinet 2)&P8(A Horn 1)&U(A Horn 2),P8(Oboe 1)&U(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 2),P8(Oboe 1)&P8(A Clarinet 2)&U(Bassoon 2)&P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
1535.0,1541.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Flute 2)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Flute 2)&U(Oboe 1)&U(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&U(A Horn 1)&P8(A Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 2)&P8(A Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 2)&P4(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 2)&P4(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 2)&P4(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1541.0,1562.0,P8(Oboe 1)&P8(A Clarinet 2)&P8(Main),,P8(Flute 1)&P8(A Clarinet 2)&P8(Main),,P8(Bassoon 1),P8(Flute 1)&P8(Oboe 1)&P8(Main),P8(A Clarinet 1),,P8(A Horn 2),P8(A Horn 1),P8(Timpani),,P8(D Trumpet 1),Main Part,,,P8(Contrabass),P8(Violoncello)
1562.0,1592.0,P8(Oboe 1),,P8(Flute 1),P8(A Clarinet 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,P8(Oboe 2)&U(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,,P8(Oboe 2)&U(A Clarinet 2)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Oboe 2)&P8(A Clarinet 2)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Oboe 2)&P8(A Clarinet 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(Oboe 2)&P8(A Clarinet 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(Oboe 2)&P8(A Clarinet 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
1592.0,1595.0,P3(Flute 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Bassoon 1)&P8(Bassoon 2),,,,,P8(Flute 1)&P3(Flute 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 1),,,,,,,,,Main Part,P8(Main)
1595.0,1598.0,Main Part,P3(Main)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Violoncello)&P5(Contrabass),,,,,P8(Main)&P3(Flute 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Main)&P8(Flute 2)&P3(Bassoon 1)&P5(Violoncello)&P5(Contrabass),,,,,,,,,P3(Main)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Contrabass),P3(Main)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello)
1598.0,1601.0,P3(Flute 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Violoncello)&P5(Contrabass),,,,,P8(Flute 1)&P3(Flute 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 1)&P5(Violoncello)&P5(Contrabass),,,,,,,Main Part,,P3(Flute 1)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello)
1601.0,1604.0,P3(Flute 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Violoncello)&P5(Contrabass),,,,,P8(Flute 1)&P3(Flute 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 1)&P5(Violoncello)&P5(Contrabass),,,,,,Main Part,,,P3(Flute 1)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello)
1604.0,1607.0,P3(Flute 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Violoncello)&P5(Contrabass),P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&U(Violin 1),P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Violin 1),P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Violin 1),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Violin 1),P8(Flute 1)&P3(Flute 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 1)&P5(Violoncello)&P5(Contrabass),,,,,,U(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2),Main Part,,P3(Flute 1)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello)
1607.0,1610.0,P3(Flute 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P3(Violoncello)&P3(Contrabass),P8(A Clarinet 2),P8(Oboe 1)&P3(Violoncello)&P3(Contrabass),P8(Oboe 2),P8(Flute 1)&P3(Flute 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Bassoon 1),,,,,,Main Part,,,P3(Oboe 1)&P3(A Clarinet 1)&P8(Contrabass),P3(Oboe 1)&P3(A Clarinet 1)&P8(Violoncello)
1610.0,1613.0,,,P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P3(Violoncello)&P3(Contrabass),P6(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P4(Violoncello)&P4(Contrabass),P8(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&P3(Violoncello)&P3(Contrabass),P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P4(Violoncello)&P4(Contrabass),,,,,,,,,Main Part,,P3(Oboe 1)&P4(Oboe 2)&P3(A Clarinet 1)&P4(A Clarinet 2)&P8(Contrabass),P3(Oboe 1)&P4(Oboe 2)&P3(A Clarinet 1)&P4(A Clarinet 2)&P8(Violoncello)
1613.0,1616.0,,,P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2),P6(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2),P8(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2),P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1),,,P6(A Horn 2),P6(A Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1616.0,1619.0,P8(Bassoon 1)&P6(Bassoon 2),,P4(Violoncello)&P4(Contrabass),,P6(A Clarinet 2),P6(A Clarinet 1),P8(Flute 1)&P6(Bassoon 2),P6(Flute 1)&P6(Bassoon 1),Main Part,,,,,,,,P4(Oboe 1)&P8(Contrabass),P4(Oboe 1)&P8(Violoncello)
1619.0,1621.5,P8(A Clarinet 1)&P8(Bassoon 1),,Main Part,,P8(Flute 1)&P8(Bassoon 1),P8(Main)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Main)&P8(A Clarinet 2),,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
