qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
230.5,42.6852,78,2.5,r,r,r,r,r,r,A3,F3,A4,F4,r,r,A5,r,r,r,r
231.0,42.7778,78,3.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,C6,r,r,r,r
232.0,42.963,79,1.0,E6,C6,G5,E5,E5,G4,B-3,G3,B-4,G4,r,r,E5,B-4,C4,C3,C2
233.0,43.1481,79,2.0,E6,C6,G5,E5,E5,G4,G3,C3,G4,C4,r,r,E5,B-4,C4,C3,C2
234.0,43.3333,79,3.0,E6,C6,G5,E5,E5,G4,G3,C3,G4,C4,r,r,E5,B-4,C4,C3,C2
235.0,43.5185,80,1.0,F6,C6,A5,F5,F5,A4,C4,A3,C5,A4,r,r,F5,A4,F3,F2,F1
235.5,43.6111,80,1.5,F6,C6,A5,F5,F5,A4,C4,A3,C5,A4,r,r,F5,A4,A3,F2,F1
236.0,43.7037,80,2.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,r,C4,r,r
236.5,43.7963,80,2.5,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,r,F4,r,r
237.0,43.8889,80,3.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,r,A4,r,r
238.0,44.0741,81,1.0,r,r,r,r,r,r,C4,A3,C5,A4,r,r,r,A3,r,r,r
238.5,44.1667,81,1.5,r,r,r,r,r,r,C4,A3,C5,A4,r,r,r,C4,r,r,r
239.0,44.2593,81,2.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,F4,r,r,r
239.5,44.3519,81,2.5,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,A4,r,r,r
240.0,44.4444,81,3.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,C5,r,r,r
241.0,44.6296,82,1.0,r,r,r,r,r,r,C4,A3,C5,A4,r,r,A4,r,r,r,r
241.5,44.7222,82,1.5,r,r,r,r,r,r,C4,A3,C5,A4,r,r,C5,r,r,r,r
242.0,44.8148,82,2.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,F5,r,r,r,r
242.5,44.9074,82,2.5,r,r,r,r,r,r,A3,F3,A4,F4,r,r,A5,r,r,r,r
243.0,45.0,82,3.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,C6,r,r,r,r
244.0,45.1852,83,1.0,E6,C6,G5,E5,E5,G4,B-3,G3,B-4,G4,r,r,E5,B-4,C4,C3,C2
245.0,45.3704,83,2.0,E6,C6,G5,E5,E5,G4,G3,C3,G4,C4,r,r,E5,B-4,C4,C3,C2
246.0,45.5556,83,3.0,E6,C6,G5,E5,E5,G4,G3,C3,G4,C4,r,r,E5,B-4,C4,C3,C2
247.0,45.7407,84,1.0,F6,C6,A5,F5,F5,A4,C4,A3,C5,A4,r,r,F5,A4,F3,F2,F1
248.0,45.9259,84,2.0,r,r,r,r,r,r,A3,F3,A4,F4,r,r,r,r,r,r,r
