qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
795.0,831.0,P3(Main)&P8(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,Main Part,P8(Flute 1)&P3(Main)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Main)&P3(Oboe  2)&P3(Bb Clarinet 1),P8(F Horn 1),P8(F Horn 2),P8(Bassoon 1),P8(Bassoon 2),,,,,,P8(Contrabass),P8(Violoncello)
831.0,844.0,,,Main Part,,,,,,,,,,,,,,
844.0,868.0,,,,,,,,,,,,,,,Main Part,,
868.0,892.0,,,,,,,,,,,,,,,Main Part,,
892.0,912.0,,,,,,,Main Part,,,,,,,,,,
912.0,916.0,,,,,,,Main Part,,,,,,,,,,
916.0,936.0,,,,Main Part,,,,,,,,,,,,,
936.0,969.0,,,,Main Part,,,,,,,,,,,,,
969.0,994.0,,,,Main Part,P3(Bassoon 1)&U(F Horn 2)&P8(Violoncello),,P3(Bb Clarinet 1)&P3(F Horn 2)&P3(Violoncello),,,U(Bb Clarinet 1)&P3(Bassoon 1)&P8(Violoncello),,,P8(Viola),,P8(Violin 1),P8(Bb Clarinet 1)&P3(Bassoon 1)&P8(F Horn 2),
994.0,1000.0,,,,Main Part,,,,,,,,,P8(Viola),,P8(Violin 1),,
1000.0,1006.0,,,,,,,,,,,Main Part,,,,,,
1006.0,1018.0,,,P3(Bb Clarinet 1),,P3(Oboe 1),,,,,,Main Part,,,,,,
1018.0,1029.0,,,P8(F Horn 1),Main Part,,,,P8(Contrabass),P8(Oboe 1),,,,,,,,P8(Bassoon 2)
1029.0,1055.0,,,P8(F Horn 1),Main Part,,,,P8(Contrabass),P8(Oboe 1),,,,P8(Violin 2),P8(Violin 1),,,P8(Bassoon 2)
