qstamp,tstamp,measure,beat,Traverso 1,Violin 1,Violin 2,Viola,Soprano 1 solo,Tenor solo,Continuo
69.0,54.4737,18,2.0,D5,D4,r,r,G4,B3,B2
69.5,54.8684,18,2.5,r,D4,r,r,F#4,A3,C3
70.0,55.2632,18,3.0,r,D4,r,r,G4,B3,B2
70.25,55.4605,18,3.25,r,C4,r,r,A4,C4,B2
70.5,55.6579,18,3.5,r,E4,r,r,F#4,A3,G3
70.75,55.8553,18,3.75,r,D4,r,r,G4,B3,G3
71.0,56.0526,18,4.0,r,C4,r,r,A4,C4,A2
71.25,56.25,18,4.25,r,B3,r,r,B4,D4,A2
71.5,56.4474,18,4.5,r,D4,r,r,G4,B3,F#3
71.75,56.6447,18,4.75,r,C4,r,r,A4,C4,F#3
72.0,56.8421,19,1.0,G5,B3,r,r,B4,D4,G2
72.5,57.2368,19,1.5,F#5,C4,r,r,B4,D4,A2
72.75,57.4342,19,1.75,E5,C4,r,r,B4,D4,A2
73.0,57.6316,19,2.0,D5,D4,r,r,B4,D4,B2
73.25,57.8289,19,2.25,D5,D4,r,r,A4,C4,B2
73.5,58.0263,19,2.5,D5,E4,r,r,G4,B3,C3
73.75,58.2237,19,2.75,D5,F#4,r,r,A4,A3,C3
74.0,58.4211,19,3.0,D5,G4,r,r,B4,G3,B2
74.25,58.6184,19,3.25,C5,G4,r,r,C5,A3,B2
74.5,58.8158,19,3.5,E5,r,r,r,A4,F#3,G3
74.75,59.0132,19,3.75,D5,r,r,r,B4,G3,G3
75.0,59.2105,19,4.0,C5,F#4,r,r,C5,A3,A2
75.25,59.4079,19,4.25,B4,F#4,r,r,D5,B3,A2
75.5,59.6053,19,4.5,D5,r,r,r,B4,G3,F#3
75.75,59.8026,19,4.75,C5,r,r,r,C5,A3,F#3
76.0,60.0,20,1.0,B4,G4,r,r,D5,B3,G2
76.25,60.1974,20,1.25,B4,G4,r,r,E5,C4,G2
76.5,60.3947,20,1.5,r,r,r,r,F5,D4,G3
77.0,60.7895,20,2.0,r,r,r,r,F5,D4,B2
77.5,61.1842,20,2.5,r,r,r,r,E5,C4,C3
78.0,61.5789,20,3.0,r,r,r,r,E5,C4,G2
78.25,61.7763,20,3.25,r,r,r,r,D5,B3,G2
78.5,61.9737,20,3.5,r,r,r,r,E5,C4,F#2
79.0,62.3684,20,4.0,r,r,r,r,D5,B3,G2
79.5,62.7632,20,4.5,r,r,r,r,D5,B3,E2
80.0,63.1579,21,1.0,r,r,r,r,C5,A3,A2
80.25,63.3553,21,1.25,r,r,r,r,B4,G3,A2
80.5,63.5526,21,1.5,r,r,r,r,A4,F#3,C4
80.75,63.75,21,1.75,r,r,r,r,A4,F#3,B3
81.0,63.9474,21,2.0,r,r,r,r,A4,F#3,A3
81.5,64.3421,21,2.5,r,r,r,r,B4,G3,G3
82.0,64.7368,21,3.0,r,r,r,r,C5,A3,F#3
82.25,64.9342,21,3.25,r,r,r,r,D5,B3,F#3
82.5,65.1316,21,3.5,r,r,r,r,E5,C4,E3
82.75,65.3289,21,3.75,r,r,r,r,E5,C4,D3
83.0,65.5263,21,4.0,r,r,r,r,E5,C4,E3
83.5,65.9211,21,4.5,r,r,r,r,D5,B3,F#3
83.75,66.1184,21,4.75,r,r,r,r,C5,A3,F#3
84.0,66.3158,22,1.0,r,r,r,r,B4,G3,G3
84.25,66.5132,22,1.25,r,r,r,r,C5,A3,G3
84.5,66.7105,22,1.5,r,r,r,r,D5,B3,E3
85.0,67.1053,22,2.0,r,r,r,r,D5,B3,B2
85.5,67.5,22,2.5,r,r,r,r,C5,A3,C3
86.0,67.8947,22,3.0,r,r,r,r,B4,G3,D3
86.5,68.2895,22,3.5,r,D4,r,r,B4,G3,D2
87.0,68.6842,22,4.0,r,F#4,r,r,A4,F#3,r
87.25,68.8816,22,4.25,D5,F#4,r,r,A4,F#3,r
87.5,69.0789,22,4.5,F#5,A4,r,r,A4,F#3,r
87.75,69.2763,22,4.75,A5,A4,r,r,A4,F#3,r
88.0,69.4737,23,1.0,D6,B4,r,r,r,r,r
88.5,69.8684,23,1.5,D6,B4,B4,G4,r,r,r
89.0,70.2632,23,2.0,C6,B4,G4,E4,r,r,r
89.25,70.4605,23,2.25,E5,B4,G4,E4,r,r,r
89.5,70.6579,23,2.5,A5,A4,E4,C4,r,r,r
89.75,70.8553,23,2.75,C6,G4,E4,C4,r,r,r
90.0,71.0526,23,3.0,E5,A4,F#4,A3,r,r,D3
90.5,71.4474,23,3.5,E5,A4,A4,C4,r,r,D2
91.0,71.8421,23,4.0,D5,A4,D4,F#4,r,r,r
91.25,72.0395,23,4.25,F#5,A4,D4,F#4,r,r,r
91.5,72.2368,23,4.5,A5,G4,D5,D4,r,r,D3
91.75,72.4342,23,4.75,C6,F#4,D5,D4,r,r,D3
92.0,72.6316,24,1.0,B5,G4,D5,D4,r,r,G3
92.25,72.8289,24,1.25,D6,G4,D5,D4,r,r,G3
92.5,73.0263,24,1.5,B5,E5,C5,G4,r,r,C3
92.75,73.2237,24,1.75,G5,E5,C5,G4,r,r,C3
93.0,73.4211,24,2.0,D5,D5,B4,G4,r,r,D3
93.25,73.6184,24,2.25,G5,D5,B4,G4,r,r,D3
93.5,73.8158,24,2.5,A5,C5,A4,D4,r,r,D2
93.75,74.0132,24,2.75,F#5,C5,A4,D4,r,r,D2
94.0,74.2105,24,3.0,F#5,B4,G4,D4,r,r,G2
94.5,74.6053,24,3.5,F#5,A4,D4,C4,r,r,G2
95.0,75.0,24,4.0,G5,G4,D4,B3,r,r,r
95.5,75.3947,24,4.5,G5,F#4,C4,A3,r,r,r
96.0,75.7895,25,1.0,G5,G4,B3,G3,G5,r,G2
96.5,76.1842,25,1.5,F#5,r,r,r,F#5,r,A2
96.75,76.3816,25,1.75,E5,r,r,r,F#5,r,A2
97.0,76.5789,25,2.0,D5,r,r,r,F#5,r,B2
97.5,76.9737,25,2.5,D5,r,r,r,E5,r,C3
98.0,77.3684,25,3.0,D5,G4,r,r,D5,D4,B2
98.25,77.5658,25,3.25,E5,G4,r,r,D5,D4,B2
98.5,77.7632,25,3.5,F#5,F#4,r,r,D5,C4,G3
98.75,77.9605,25,3.75,G5,E4,r,r,D5,C4,G3
99.0,78.1579,25,4.0,A5,D4,r,r,D5,C4,A2
99.25,78.3553,25,4.25,B5,D4,r,r,D5,C4,A2
99.5,78.5526,25,4.5,G5,D4,r,r,D5,B3,F#3
99.75,78.75,25,4.75,A5,D4,r,r,D5,B3,F#3
100.0,78.9474,26,1.0,B5,D4,r,r,D5,B3,G2
100.25,79.1447,26,1.25,A5,D4,r,r,D5,B3,G2
