qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
404.0,414.0,U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 2),U(Traverso 1)&U(Violin 1)&U(Main),U(Traverso 2)&U(Violin 2)&U(Soprano 2),U(Bass),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 2),,Main Part,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),,,U(Bassoon),
414.0,425.0,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 1),,U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Violin 2)&U(Main),,U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 1),U(Oboe d’amore 2)&U(Main),,U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),Main Part,,,,
425.0,427.0,U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 2),U(Traverso 1)&U(Violin 1)&U(Main),U(Traverso 2)&U(Violin 2)&U(Soprano 2),P8(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 2),,Main Part,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),,,P8(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
427.0,429.0,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 1),U(Oboe d’amore 2)&U(Violin 2)&U(Main),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Traverso 2)&U(Violin 2)&U(Main),U(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Main),,U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),Main Part,,,U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
429.0,431.0,U(Oboe d’amore 1)&U(Violin 1),P8(Oboe d’amore 2)&P8(Violin 2)&P8(Soprano 2),U(Traverso 1)&U(Violin 1),P8(Traverso 2)&U(Violin 2)&U(Soprano 2),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1),P8(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 2),,Main Part,P8(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
431.0,432.5,U(Oboe d’amore 1)&U(Violin 1),,U(Traverso 1)&U(Violin 1),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Oboe d’amore 2)&U(Main),,,Main Part,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
432.5,436.5,U(Oboe d’amore 1)&U(Violin 1)&U(Main),,U(Traverso 1)&U(Violin 1)&U(Main),U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2),,Main Part,,,,,U(Bassoon)
436.5,437.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 1),Main Part,U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Main)&U(Violin 2),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 1),U(Main)&U(Oboe d’amore 2),,U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
437.5,444.5,U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Violin 1)&U(Main),U(Traverso 2)&U(Violin 2),P8(Bass)&P8(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Main),U(Traverso 2)&U(Oboe d’amore 2),,Main Part,,,,P8(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
444.5,448.5,U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2),,,,Main Part,,,U(Bassoon)
448.5,452.5,U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2),,,,,Main Part,,U(Bassoon)
