qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
71.0,60.0,19,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G#3,G#2,r
71.5,60.4225,19,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,G#2,G#1
72.0,60.8451,19,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B2,B1
72.5,61.2676,19,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B3,B2,r
73.0,61.6901,19,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E5,E4,E3,r
73.5,62.1127,19,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E3,E2
74.0,62.5352,19,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G#3,G#2
74.5,62.9577,19,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,G#5,G#4,G#3,r
75.0,63.3803,20,1.0,r,r,r,r,r,r,r,r,E1,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2,E1
76.0,64.2254,20,2.0,B4,G#4,E5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,E3,E2,E1
77.0,65.0704,20,3.0,B4,G#4,D5,r,r,r,r,r,E1,F5,r,r,r,r,r,r,r,r,r,r,r,E3,E2,E1
78.0,65.9155,20,4.0,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,E3,E2,E1
78.125,66.0211,20,4.125,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2,E1
78.25,66.1268,20,4.25,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2,E1
78.375,66.2324,20,4.375,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,A3,A2,E1
78.5,66.338,20,4.5,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2,E1
78.625,66.4437,20,4.625,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,A3,A2,E1
78.75,66.5493,20,4.75,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,B3,B2,E1
78.875,66.6549,20,4.875,C5,A4,C5,r,r,r,r,r,E1,E5,r,r,r,r,r,r,r,r,r,r,r,C4,C3,E1
79.0,66.7606,21,1.0,r,r,r,r,r,r,r,r,E1,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2,E1
80.0,67.6056,21,2.0,r,r,r,r,C5,r,C4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,E3,E2,E1
81.0,68.4507,21,3.0,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,E3,E2,E1
81.125,68.5563,21,3.125,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,F3,F2,E1
81.25,68.662,21,3.25,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,G3,G2,E1
81.375,68.7676,21,3.375,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2,E1
81.5,68.8732,21,3.5,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,G3,G2,E1
81.625,68.9789,21,3.625,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2,E1
81.75,69.0845,21,3.75,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2,E1
81.875,69.1901,21,3.875,r,r,r,r,B-4,r,C#4,r,E1,G5,r,r,r,r,r,r,r,r,r,r,r,C4,C3,E1
