qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Trombone 1,Trombone 2,Trombone 3,Harp,Soprano,Alto,Tenor,Bass,Viola 1,Viola 2,Violoncello 1,Violoncello 2,Violoncello 3,Contrabass
110.0,71.7391,28,3.0,G4,r,r,r,r,r,E4,C3,r,r,r,r,r,r,r,r,G4,E4,C4,C3,C3,C2
111.0,72.3913,28,4.0,G4,r,r,r,r,r,E4,C3,r,r,r,r,r,r,r,r,G4,E4,B-3,C3,C3,C2
112.0,73.0435,29,1.0,F4,r,r,r,r,r,F4,r,r,r,r,r,F5,A4,C4,F2,F4,F4,A3,F2,F2,F1
114.0,74.3478,29,3.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,C4,F3,r,r,r,r,r,r
116.0,75.6522,30,1.0,D6,F5,r,r,G3,B-2,G4,F4,r,r,r,r,G4,F4,D4,B-2,D5,F4,G3,B-2,B-2,B-1
118.0,76.9565,30,3.0,C6,E5,r,r,G3,C3,G4,C4,r,r,r,r,r,r,r,r,C5,E4,G3,C3,C3,C2
119.0,77.6087,30,4.0,B-5,E5,r,r,G3,C3,G4,C4,r,r,r,r,r,r,r,r,B-4,E4,G3,r,r,r
120.0,78.2609,31,1.0,A5,F5,r,r,F3,F2,A4,r,r,r,r,r,A5,A4,C4,F2,A4,F4,F3,F2,F2,F1
122.0,79.5652,31,3.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,C4,F3,r,r,r,r,r,r
124.0,80.8696,32,1.0,A5,F5,r,r,B3,D3,A4,A3,r,r,r,r,B4,A4,D4,D3,F5,A4,B3,D3,D3,D2
126.0,82.1739,32,3.0,G#5,E5,r,r,B3,E3,E4,E4,r,r,r,r,r,r,r,r,E5,G#4,B3,E3,E3,E2
127.0,82.8261,32,4.0,G#5,D5,r,r,B3,E3,E4,E4,r,r,r,r,r,r,r,r,D5,G#4,B3,r,r,r
128.0,83.4783,33,1.0,A5,C5,r,r,A3,A2,E4,A3,r,r,r,r,C5,A4,E4,A3,C5,A4,A3,A2,A2,A1
130.0,84.7826,33,3.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,E-4,F3,r,r,r,r,r,r
132.0,86.087,34,1.0,C#5,B-4,r,r,r,r,F4,F3,C#4,F3,B-2,r,F5,B-4,C#4,B-2,r,r,r,r,r,r
134.0,87.3913,34,3.0,C#5,B-4,r,r,r,r,F4,F3,C#4,F3,B-2,r,r,r,r,r,C#5,F4,B-3,B-2,B-2,B-1
136.0,88.6957,35,1.0,D5,B4,r,r,r,r,G4,F4,D4,F3,G2,r,G5,B4,D4,G2,D5,F4,B3,G2,G2,G1
138.0,90.0,35,3.0,D5,B4,r,r,r,r,G4,F4,D4,G3,G2,r,D5,F4,B3,G2,D5,F4,B3,G2,G2,G1
140.0,91.3043,36,1.0,E5,C5,r,r,r,r,G4,C4,E4,G3,C3,r,C5,E4,C4,C3,C5,E4,G3,C3,C3,C2
142.0,92.6087,36,3.0,E5,B-4,r,r,r,r,E4,C4,E4,G3,C3,r,B-4,E4,G3,C3,B-4,E4,G3,C3,C3,C2
144.0,93.913,37,1.0,E5,A4,r,r,r,r,E4,A3,E4,A3,C#3,r,A4,E4,A3,C#3,A4,E4,A3,A2,C#2,C#1
144.5,94.2391,37,1.5,E5,A4,r,r,r,r,E4,A3,E4,A3,C#3,r,A4,E4,A3,C#3,E4,A3,E3,A2,C#2,C#1
145.0,94.5652,37,2.0,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,r,r,C#2,C#1
145.5,94.8913,37,2.5,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,E3,A2,C#2,C#1
146.0,95.2174,37,3.0,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,E3,A2,C#2,C#1
146.5,95.5435,37,3.5,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,E3,A2,C#2,C#1
147.0,95.8696,37,4.0,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,r,r,C#2,C#1
147.5,96.1957,37,4.5,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,E3,A2,C#2,C#1
148.0,96.5217,38,1.0,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,E3,C3,C2,C1
148.5,96.8478,38,1.5,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,E3,C3,C2,C1
149.0,97.1739,38,2.0,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,r,r,C2,C1
149.5,97.5,38,2.5,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,E3,C3,C2,C1
150.0,97.8261,38,3.0,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,E3,G2,C2,C1
150.5,98.1522,38,3.5,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,E3,G2,C2,C1
151.0,98.4783,38,4.0,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,r,r,C2,C1
151.5,98.8043,38,4.5,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B-3,E3,G2,C2,C1
152.0,99.1304,39,1.0,r,r,A5,r,r,r,r,r,r,r,r,r,r,E4,A3,C#3,E4,A3,E3,A2,C#2,C#1
152.5,99.4565,39,1.5,r,r,A5,r,r,r,r,r,r,r,r,r,r,E4,A3,C#3,E4,A3,E3,A2,C#2,C#1
153.0,99.7826,39,2.0,r,r,A5,r,r,r,r,r,r,r,r,r,A4,E4,A3,C#3,E4,A3,r,r,C#2,C#1
153.5,100.1087,39,2.5,r,r,A5,r,r,r,r,r,r,r,r,r,A4,E4,A3,C#3,E4,A3,E3,A2,C#2,C#1
154.0,100.4348,39,3.0,A5,E5,A5,A4,E3,C#3,r,r,r,r,r,r,A4,E4,A3,C#3,E4,A3,E3,A2,C#2,C#1
154.5,100.7609,39,3.5,A5,E5,A5,A4,E3,C#3,r,r,r,r,r,r,A4,E4,A3,C#3,E4,A3,E3,A2,C#2,C#1
155.0,101.087,39,4.0,A5,E5,A5,A4,E3,C#3,r,r,r,r,r,r,A4,E4,A3,C#3,E4,A3,r,r,C#2,C#1
155.5,101.413,39,4.5,A5,E5,A5,A4,E3,C#3,r,r,r,r,r,r,A4,E4,A3,C#3,E4,A3,E3,A2,C#2,C#1
156.0,101.7391,40,1.0,B-5,E5,G5,B-4,G3,C3,r,r,r,r,r,r,B-4,E4,G3,C3,E4,G3,E3,C3,C2,C1
156.5,102.0652,40,1.5,B-5,E5,G5,B-4,G3,C3,r,r,r,r,r,r,B-4,E4,G3,C3,E4,G3,E3,C3,C2,C1
