qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
46.375,33.125,16,2.375,B-5,G5,E-5,B-4,r,B-3,B-2,G4,E-4,r,r,r,G4,E4,G3,B-2,B-1
46.5,33.2143,16,2.5,C6,G5,E5,C5,r,C4,B-2,B-3,B-2,r,r,r,B-4,G4,G3,B-2,B-1
46.75,33.3929,16,2.75,C6,G5,E5,C5,r,C4,B-2,B-3,B-2,r,r,r,B-4,G4,G3,B-2,B-1
46.875,33.4821,16,2.875,B-5,G5,E5,B-4,r,B-3,B-2,B-3,B-2,r,r,r,B-4,G4,G3,B-2,B-1
47.0,33.5714,16,3.0,B-5,G#5,F5,B-4,r,B-3,B-2,B-3,B-2,r,r,r,r,r,G#3,B-2,B-1
47.375,33.8393,16,3.375,B-5,G#5,F5,B-4,r,B-3,B-2,B-3,B-2,r,r,r,G#4,F4,G#3,B-2,B-1
47.5,33.9286,16,3.5,C6,G#5,F5,C5,r,C4,B-2,B-3,B-2,r,r,r,B-4,G#4,G#3,B-2,B-1
47.75,34.1071,16,3.75,C6,G#5,F5,C5,r,C4,B-2,B-3,B-2,r,r,r,B-4,G#4,G#3,B-2,B-1
47.875,34.1964,16,3.875,B-5,G#5,F5,B-4,r,B-3,B-2,B-3,B-2,r,r,r,B-4,G#4,G#3,B-2,B-1
48.0,34.2857,17,1.0,B-5,G5,E-5,B-4,r,B-3,E-3,G3,E-3,E-4,E-4,E-3,B-4,G4,G3,E-3,E-2
48.125,34.375,17,1.125,B-5,G5,E-5,B-4,r,B-3,E-3,G3,E-3,E-4,E-4,E-3,B-4,B-3,B-3,B-2,E-2
48.25,34.4643,17,1.25,B-5,G5,E-5,B-4,r,B-3,E-3,G3,E-3,E-4,E-4,E-3,B-4,G3,G3,G2,E-2
48.375,34.5536,17,1.375,B-5,G5,E-5,B-4,r,B-3,E-3,G3,E-3,E-4,E-4,E-3,B-4,B-3,B-3,B-2,E-2
48.5,34.6429,17,1.5,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
48.625,34.7321,17,1.625,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,G4,G4,G3,r
48.75,34.8214,17,1.75,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,E-4,E-4,E-3,r
48.875,34.9107,17,1.875,r,G5,E-5,B-4,G4,r,r,E-4,G3,r,r,r,r,B-3,B-3,B-2,r
49.0,35.0,17,2.0,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,r,r,r,E-2
49.125,35.0893,17,2.125,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,B-3,B-3,B-2,E-2
49.25,35.1786,17,2.25,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,G3,G3,G2,E-2
49.375,35.2679,17,2.375,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3,r,B-3,B-3,B-2,E-2
