qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb basso Horn 1,Bb basso Horn 2,Violin 1,Violin 2,Viola,Violoncello solo,Violoncello,Contrabass
45.5,36.4,8,3.3333,r,r,B-4,B-4,r,B-3,r,B-2,B-3,B-2,B-5,D4,D4,B-2,r,r
45.75,36.6,8,3.5,r,r,B-4,B-4,r,B-3,r,B-2,B-3,B-2,B-5,B-3,B-3,D3,r,r
46.0,36.8,8,3.6667,r,r,B-4,B-4,r,B-3,r,B-2,B-3,B-2,B-5,D4,D4,B-2,r,r
46.25,37.0,8,3.8333,r,r,B-4,B-4,r,B-3,r,B-2,B-3,B-2,B-5,B-3,B-3,D3,r,r
46.5,37.2,8,4.0,r,r,B-4,B-4,r,B-3,r,B-2,B-3,B-2,B-5,C4,C4,F2,r,r
46.75,37.4,8,4.1667,r,r,B-4,B-4,r,B-3,r,B-2,B-3,B-2,B-5,A3,A3,C3,r,r
47.0,37.6,8,4.3333,r,r,B-4,B-4,B-4,B-3,B-3,B-2,B-3,B-2,B-5,D4,D4,B-2,r,r
47.25,37.8,8,4.5,r,r,B-4,B-4,C5,B-3,C4,B-2,B-3,B-2,B-5,B-3,B-3,D3,r,r
47.5,38.0,8,4.6667,r,r,B-4,B-4,D5,B-3,D4,B-2,B-3,B-2,B-5,D4,D4,B-2,r,r
47.75,38.2,8,4.8333,r,r,B-4,B-4,B-4,B-3,B-3,B-2,B-3,B-2,A5,B-3,B-3,D3,r,r
47.875,38.3,8,4.9167,r,r,B-4,B-4,B-4,B-3,B-3,B-2,B-3,B-2,B-5,B-3,B-3,D3,r,r
48.0,38.4,9,1.0,C6,A5,F5,F5,B-4,F4,B-3,F3,F3,F2,C6,E-4,E-4,F2,F2,F1
48.25,38.6,9,1.1667,C6,A5,F5,F5,B-4,F4,B-3,F3,F3,F2,C6,A3,A3,C3,F2,F1
48.5,38.8,9,1.3333,C6,A5,F5,F5,A4,F4,A3,F3,F3,F2,C6,E-4,E-4,C3,F2,F1
48.75,39.0,9,1.5,C6,A5,F5,F5,A4,F4,A3,F3,F3,F2,C6,C4,C4,E-3,F2,F1
49.0,39.2,9,1.6667,r,r,F5,F5,A4,F4,A3,F3,F3,F2,r,E-4,E-4,C3,r,r
49.25,39.4,9,1.8333,r,r,F5,F5,A4,F4,A3,F3,F3,F2,r,C4,C4,E-3,r,r
49.5,39.6,9,2.0,r,r,F5,F5,r,F4,r,F3,F3,F2,r,F4,F4,D3,r,r
