qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
1446.0,1458.0,Main Part,P6(Bassoon 1)&P2(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P3(Oboe 2)&P3(Violin 2),P3(Oboe 1)&U(Violin 2),P8(Main),P3(Violin 1)&P8(Viola),P6(Flute 2)&P5(Bassoon 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),P2(Flute 2)&P5(Bassoon 1)&P2(D Trumpet 1)&P2(D Trumpet 2)&P2(Timpani),,,P8(E Horn 4),P8(E Horn 3),P8(Flute 2)&P6(Bassoon 1)&P2(Bassoon 2)&P8(D Trumpet 2)&P8(Timpani),P8(Flute 2)&P6(Bassoon 1)&P2(Bassoon 2)&P8(D Trumpet 1)&P8(Timpani),,,,,P8(Flute 2)&P6(Bassoon 1)&P2(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P3(A Clarinet 2)&P3(Viola),P3(Oboe 1)&U(Oboe 2),P8(A Clarinet 2)&P3(Violin 1),P8(Contrabass),P8(Violoncello)
1458.0,1470.0,P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Trombone 1)&P3(Trombone 2)&P5(Trombone 3),,Main Part,,P8(Flute 1)&U(A Clarinet 2)&U(Trombone 1)&P3(Trombone 2)&P5(Trombone 3),P8(Flute 1)&U(A Clarinet 1)&U(Trombone 1)&P3(Trombone 2)&P5(Trombone 3),,,,,,,,,P8(Flute 1)&U(A Clarinet 1)&U(A Clarinet 2)&P3(Trombone 2)&P5(Trombone 3),P3(Flute 1)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Trombone 1)&P3(Trombone 3),P5(Flute 1)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Trombone 1)&P3(Trombone 2),,,,,,P8(Contrabass),P8(Violoncello)
1470.0,1482.0,,,P3(Oboe 2)&P8(E Horn 3)&P3(E Horn 4),P3(Oboe 1)&P3(E Horn 3)&P8(E Horn 4),,,,,,,P8(Oboe 1)&P3(Oboe 2)&P3(E Horn 4),P3(Oboe 1)&P8(Oboe 2)&P3(E Horn 3),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1482.0,1494.0,P3(Flute 2),P3(Flute 1),Main Part,,,,,,,,,,,,,,,,,,,,,
1494.0,1524.0,Main Part,,U(Oboe 2),U(Oboe 1),,,,,P8(D Horn 2),P8(D Horn 1),P8(E Horn 4),P8(E Horn 3),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1524.0,1533.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),Main Part,,,P6(D Horn 1)&P6(D Horn 2)&P6(Violin 2)&P8(Viola),P6(Bassoon 2)&P8(D Horn 2)&P8(Violin 2)&P6(Viola),P6(Bassoon 2)&P8(D Horn 1)&P8(Violin 2)&P6(Viola),,,,,,,,,,,P6(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P6(Viola),P8(Bassoon 2)&P6(D Horn 1)&P6(D Horn 2)&P6(Violin 2),P8(Contrabass),P8(Violoncello)
1533.0,1548.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 1),,,,P8(Viola),P8(D Horn 2),P8(D Horn 1),,,,,,,,,,,,P8(Bassoon 2),P8(Contrabass),P8(Violoncello)
1548.0,1557.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),Main Part,,,P8(Viola),,,,,,,,,,,,,,P8(Bassoon 2),P8(Contrabass),P8(Violoncello)
1557.0,1572.0,Main Part,U(Main),U(Oboe 2),U(Oboe 1),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,,,,,,,,,,,,,,
1572.0,1593.0,,,,,,,,,U(D Horn 2)&P3(Trombone 1)&P3(Trombone 2)&P5(Trombone 3)&P2(Tuba),U(D Horn 1)&P3(Trombone 1)&P3(Trombone 2)&P5(Trombone 3)&P2(Tuba),,,,,P3(D Horn 1)&P3(D Horn 2)&P5(Trombone 2)&P7(Trombone 3)&P2(Tuba),P3(D Horn 1)&P3(D Horn 2)&P5(Trombone 1)&P3(Trombone 3)&P4(Tuba),P5(D Horn 1)&P5(D Horn 2)&P7(Trombone 1)&P3(Trombone 2)&P6(Tuba),P2(D Horn 1)&P2(D Horn 2)&P2(Trombone 1)&P4(Trombone 2)&P6(Trombone 3),,Main Part,,,P8(Main),
1593.0,1602.0,,,,,,,,,Main Part,P3(Trombone 2),,,,,,P3(D Horn 2),,,,P3(Violin 2)&P3(Viola)&P8(Violoncello)&P4(Contrabass),P3(Violin 1)&P8(Viola)&P3(Violoncello)&P6(Contrabass),P3(Violin 1)&P8(Violin 2)&P3(Violoncello)&P6(Contrabass),P8(Violin 1)&P3(Violin 2)&P3(Viola)&P4(Contrabass),P4(Violin 1)&P6(Violin 2)&P6(Viola)&P4(Violoncello)
1602.0,1605.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2),,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1),,,,,,,,,,,,,,Main Part,,,,
1605.0,1608.0,Main Part,P8(A Clarinet 2),,,P8(Main),P8(Flute 2),,,,,,,,,,,,,,,,,,
1608.0,1617.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,,,,,,,,,,,Main Part,,,,
1617.0,1620.0,Main Part,P8(A Clarinet 2),,,P8(Main),P8(Flute 2),,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),P3(Violoncello),P3(Viola),
1620.0,1643.0,,,,,,,,,,,P3(E Horn 4),P3(E Horn 3),,,,,,,,Main Part,,,,
1643.0,1653.5,,,Main Part,,,,,,,,,,,,,,,,,,,,,
1653.5,1662.0,,,,,,,,,,,,,,,,,,,,,Main Part,P6(Violoncello),P6(Viola),
1662.0,1673.0,,,Main Part,,,,,,,,,,,,,,,,,,,,,
1673.0,1674.0,,,,,Main Part,P8(Violin 2),,,,,,,,,,,,,,P8(Main),P8(A Clarinet 2),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
1674.0,1679.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main),P8(Violin 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,Main Part,P8(A Clarinet 2),,P8(Contrabass),P8(Violoncello)
1679.0,1710.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,,,P8(D Horn 2),P8(D Horn 1),,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
1710.0,1737.0,P8(Oboe 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Trumpet 1),P8(Oboe 2),P8(Flute 1)&P8(A Clarinet 2)&P8(D Horn 1)&P8(D Trumpet 1),P8(Flute 2),,P8(Flute 1)&P8(Oboe 1)&P8(D Horn 1)&U(D Trumpet 1),P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabass),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 2)&P8(D Trumpet 1),P8(D Trumpet 2),,,P8(Flute 1)&P8(Oboe 1)&U(A Clarinet 2)&P8(D Horn 1),P8(D Horn 2),,,,,,Main Part,,,,P8(Bassoon 1)&P8(Bassoon 2)
1737.0,1749.0,,,,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),P8(D Horn 2),P8(D Horn 1),P8(E Horn 4),P8(E Horn 3),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),,,,,P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
1749.0,1768.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,,,,,P5(Trombone 2)&P3(Trombone 3)&P6(Tuba)&P6(Timpani),P5(Trombone 1)&P3(Trombone 3)&P2(Tuba)&P2(Timpani),P3(Trombone 1)&P3(Trombone 2)&P4(Tuba)&P4(Timpani),P6(Trombone 1)&P2(Trombone 2)&P4(Trombone 3)&P8(Timpani),P6(Trombone 1)&P2(Trombone 2)&P4(Trombone 3)&P8(Tuba),Main Part,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
1768.0,1824.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1824.0,1848.0,Main Part,,,,,,,,,,U(E Horn 4),U(E Horn 3),,,,,,,,,,,,
1848.0,1868.0,Main Part,,P5(Oboe 2),P5(Oboe 1),,,,,,,U(E Horn 4),U(E Horn 3),,,,,,,,,,,,
1868.0,1875.0,P8(Main)&P8(E Horn 4),,P2(D Horn 1)&P2(D Horn 2)&P2(Contrabass),,,,U(Bassoon 2),U(Bassoon 1),P2(Oboe 1)&P8(D Horn 2)&P8(Contrabass),P2(Oboe 1)&P8(D Horn 1)&P8(Contrabass),Main Part,P8(Flute 1)&U(Main),,,,,,,,,,,,P2(Oboe 1)&P8(D Horn 1)&P8(D Horn 2)
1875.0,1881.0,P8(E Horn 3)&P8(E Horn 4),,Main Part,,U(A Clarinet 2),U(A Clarinet 1),P8(Main)&U(Bassoon 2),P8(Main)&U(Bassoon 1),P8(D Horn 2),P8(D Horn 1),P8(Flute 1)&U(E Horn 4),P8(Flute 1)&U(E Horn 3),,,,,,,,P3(Violin 2)&P3(Viola),P3(Violin 1)&U(Viola),P3(Violin 1)&U(Violin 2),P8(Contrabass),P8(Violoncello)
1881.0,1893.0,P8(Oboe 1),P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&P8(Timpani)&P4(Violin 2),P8(Flute 1),P8(Flute 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&P8(Timpani)&P4(Violin 2),,,U(Bassoon 2),U(Bassoon 1),P8(D Horn 2),P8(D Horn 1),U(E Horn 4),U(E Horn 3),P8(Flute 2)&U(Oboe 2)&P8(D Trumpet 2)&P8(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&P8(Timpani)&P4(Violin 2),P8(Flute 2)&P8(Oboe 2)&P8(D Trumpet 1)&U(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&P8(Timpani)&P4(Violin 2),P8(Flute 2)&P8(Oboe 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P4(Trombone 2)&P6(Trombone 3)&P8(Timpani)&P4(Violin 2),P4(Flute 2)&P4(Oboe 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Trombone 1)&P3(Trombone 3)&P4(Timpani)&U(Violin 2),P6(Flute 2)&P6(Oboe 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Trombone 1)&P3(Trombone 2)&P6(Timpani)&P3(Violin 2),,P8(Flute 2)&P8(Oboe 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Trombone 1)&P4(Trombone 2)&P6(Trombone 3)&P4(Violin 2),,P4(Flute 2)&P4(Oboe 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Trombone 1)&U(Trombone 2)&P3(Trombone 3)&P4(Timpani),,Main Part,
1893.0,1911.0,P8(D Horn 1),,Main Part,,P3(A Clarinet 2),P3(A Clarinet 1),,,P8(Flute 1),U(Timpani),,,,,,,,,U(D Horn 2),P8(Viola),,P8(Violin 1),P8(Contrabass),P8(Violoncello)
1911.0,1916.0,P4(Flute 2)&P8(Oboe 1)&P2(Oboe 2),P4(Flute 1)&P4(Oboe 1)&P3(Oboe 2),P8(Flute 1)&P4(Flute 2)&P2(Oboe 2),P2(Flute 1)&P3(Flute 2)&P2(Oboe 1),Main Part,P3(Main)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Trombone 1)&P8(Trombone 3),P8(Main)&P3(A Clarinet 2)&P3(Bassoon 2)&U(Trombone 1)&P3(Trombone 3),P3(Main)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Trombone 1)&U(Trombone 3),,U(Timpani),,,,,P8(Main)&P3(A Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P3(Trombone 3),P6(Tuba)&P6(Violoncello)&P6(Contrabass),P3(Main)&P8(A Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P3(Trombone 1),P6(Trombone 2)&U(Violoncello)&P8(Contrabass),U(D Horn 2),P3(Violin 2)&P3(Viola),P3(Violin 1)&P5(Viola),P3(Violin 1)&P5(Violin 2),P6(Trombone 2)&U(Tuba)&P8(Contrabass),P6(Trombone 2)&P8(Tuba)&P8(Violoncello)
1916.0,1983.0,,,,,P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Trombone 1)&P3(Trombone 2)&P3(Trombone 3)&P4(Tuba),P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Trombone 1)&P5(Trombone 2)&P8(Trombone 3)&P2(Tuba),P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&U(Trombone 1)&P3(Trombone 2)&P3(Trombone 3)&P4(Tuba),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Trombone 1)&P5(Trombone 2)&U(Trombone 3)&P2(Tuba),Main Part,,,,,,P8(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P3(Trombone 2)&P3(Trombone 3)&P4(Tuba),P3(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P3(Trombone 1)&P5(Trombone 3)&P6(Tuba),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P3(Trombone 1)&P5(Trombone 2)&P2(Tuba),P4(A Clarinet 1)&P2(A Clarinet 2)&P4(Bassoon 1)&P2(Bassoon 2)&P4(Trombone 1)&P6(Trombone 2)&P2(Trombone 3),,,,,P8(Contrabass),P8(Violoncello)
1983.0,2043.0,,,,,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
2043.0,2058.0,Main Part,,U(Oboe 2),U(Oboe 1),P3(A Clarinet 2),P3(A Clarinet 1),,,U(D Horn 2),U(D Horn 1),,,P3(D Trumpet 2),P3(D Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
2058.0,2070.5,Main Part,,P8(Main)&U(Oboe 2),P8(Main)&U(Oboe 1),,,P3(Bassoon 2),P3(Bassoon 1),,,,,P3(D Trumpet 2),P3(D Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
2070.5,2091.0,Main Part,,,,,,,,,,,,P3(D Trumpet 2),P3(D Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
2091.0,2121.0,,,P3(Oboe 2),P3(Oboe 1),,,P3(Bassoon 2),P3(Bassoon 1),Main Part,P8(D Trumpet 2),,,P8(Main),P8(D Horn 2),P3(Trombone 2)&P3(Trombone 3)&P3(Tuba)&P3(Timpani),P3(Trombone 1)&P5(Trombone 3)&P5(Tuba)&P5(Timpani),P3(Trombone 1)&P5(Trombone 2)&P8(Tuba)&U(Timpani),P3(Trombone 1)&P5(Trombone 2)&P8(Trombone 3)&P8(Timpani),P3(Trombone 1)&P5(Trombone 2)&U(Trombone 3)&P8(Tuba),,,,,
