qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"D, A Timpani",Triangle,Cymbals,Bass Drum,Soprano solo,Alto solo,Tenor solo,Bass solo,Soprano,Alto,Tenor,Bass,Violin 1,Violin 2,Viola,Violoncello,Contrabass
3521.0,3539.0,,P8(Main),,,,,,P8(Bassoon 2),P8(Bassoon 1),P8(Bass)&P8(Violoncello)&P8(Contrabass),,,,,,,,,,,,P2(Bass Drum),P2(Cymbals),,,,,Main Part,,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),,,,P8(Contrabassoon)&P8(Bass)&P8(Contrabass),P8(Contrabassoon)&P8(Bass)&P8(Violoncello)
3539.0,3547.0,P8(Flute 1),P8(Piccolo),,P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Bass)&P8(Violoncello)&P8(Contrabass),P3(D Horn 2)&P8(D Trumpet 1)&P3(D Trumpet 2)&U(Alto Trombone)&P3(Tenor Trombone)&P8(Soprano)&P8(Violin 1),P3(D Horn 1)&P3(D Trumpet 1)&P8(D Trumpet 2)&P3(Alto Trombone)&U(Tenor Trombone)&P3(Soprano)&P3(Violin 1),,,P8(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&U(Soprano)&P8(Violin 1),P3(D Horn 1)&P8(D Horn 2)&P3(D Trumpet 1)&P3(Alto Trombone)&P8(Tenor Trombone)&P3(Soprano)&P3(Violin 1),U(D Horn 1)&P3(D Horn 2)&P8(D Trumpet 1)&P3(D Trumpet 2)&P3(Tenor Trombone)&P8(Soprano)&P8(Violin 1),P3(D Horn 1)&U(D Horn 2)&P3(D Trumpet 1)&P8(D Trumpet 2)&P3(Alto Trombone)&P3(Soprano)&P3(Violin 1),,P2(Triangle),"P2(D, A Timpani)",P2(Bass Drum),P2(Cymbals),,,,,P8(D Horn 1)&P3(D Horn 2)&U(D Trumpet 1)&P3(D Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&P8(Violin 1),Main Part,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P3(D Horn 2)&P8(D Trumpet 1)&P3(D Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&P8(Soprano),P8(Main)&P8(Viola),U(Main)&P8(Violin 2),P8(Contrabassoon)&P8(Bass)&P8(Contrabass),P8(Contrabassoon)&P8(Bass)&P8(Violoncello)
3547.0,3555.0,,P8(D Trumpet 1)&P8(Main)&U(Violin 1),,U(Bb Clarinet 1),U(Bb Clarinet 2),U(Oboe 1),U(Oboe 2),,,P8(Bass)&P8(Violoncello)&P8(Contrabass),,,,,P8(Flute 1)&U(Main)&P8(Violin 1),,,,,,P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,Main Part,,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&P8(D Trumpet 1)&P8(Main),,,P8(Contrabassoon)&P8(Bass)&P8(Contrabass),P8(Contrabassoon)&P8(Bass)&P8(Violoncello)
3555.0,3563.0,P8(Flute 1),P8(Piccolo),,P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Bass)&P8(Violoncello)&P8(Contrabass),P3(D Horn 2)&P8(D Trumpet 1)&P3(D Trumpet 2)&U(Alto Trombone)&P3(Tenor Trombone)&P8(Soprano)&P8(Violin 1),P3(D Horn 1)&P3(D Trumpet 1)&P8(D Trumpet 2)&P3(Alto Trombone)&U(Tenor Trombone)&P3(Soprano)&P3(Violin 1),,,P8(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&U(Soprano)&P8(Violin 1),P3(D Horn 1)&P8(D Horn 2)&P3(D Trumpet 1)&P3(Alto Trombone)&P8(Tenor Trombone)&P3(Soprano)&P3(Violin 1),U(D Horn 1)&P3(D Horn 2)&P8(D Trumpet 1)&P3(D Trumpet 2)&P3(Tenor Trombone)&P8(Soprano)&P8(Violin 1),P3(D Horn 1)&U(D Horn 2)&P3(D Trumpet 1)&P8(D Trumpet 2)&P3(Alto Trombone)&P3(Soprano)&P3(Violin 1),,P2(Triangle),"P2(D, A Timpani)",P2(Bass Drum),P2(Cymbals),,,,,P8(D Horn 1)&P3(D Horn 2)&U(D Trumpet 1)&P3(D Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&P8(Violin 1),Main Part,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P3(D Horn 2)&P8(D Trumpet 1)&P3(D Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&P8(Soprano),P8(Main)&P8(Viola),U(Main)&P8(Violin 2),P8(Contrabassoon)&P8(Bass)&P8(Contrabass),P8(Contrabassoon)&P8(Bass)&P8(Violoncello)
3563.0,3567.5,,P8(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(D Horn 1)&P8(D Trumpet 1)&P8(Main)&P8(Violin 1),P8(Oboe 2)&P8(Bassoon 2)&P8(Alto)&P8(Violin 2)&P8(Viola),P8(Flute 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(D Horn 1)&U(D Trumpet 1)&U(Main)&P8(Violin 1),P8(Flute 2)&P8(Bassoon 2)&U(Alto)&P8(Violin 2)&P8(Viola),P8(Flute 1)&U(Oboe 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(D Horn 1)&U(D Trumpet 1)&U(Main)&P8(Violin 1),P3(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(D Horn 1)&P3(D Trumpet 1)&P3(Main)&P3(Violin 1),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(D Horn 1)&P8(D Trumpet 1)&P8(Main)&P8(Violin 1),P8(Flute 2)&P8(Oboe 2)&P8(Alto)&P8(Violin 2)&P8(Viola),"P8(D, A Timpani)&P8(Tenor)&P8(Bass)&P8(Violoncello)&P8(Contrabass)",P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P8(D Trumpet 1)&P8(Main)&P8(Violin 1),P8(D Trumpet 2),,,P8(Flute 1)&U(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(D Horn 1)&U(Main)&P8(Violin 1),P8(D Horn 2),,,,P8(Contrabassoon)&P8(Tenor)&P8(Bass)&P8(Violoncello)&P8(Contrabass),P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,Main Part,P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola),"P8(Contrabassoon)&P8(D, A Timpani)&P8(Bass)&U(Violoncello)&P8(Contrabass)","P8(Contrabassoon)&P8(D, A Timpani)&P8(Tenor)&P8(Violoncello)&P8(Contrabass)",P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(D Horn 1)&P8(D Trumpet 1)&P8(Main),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2)&P8(Alto)&P8(Viola),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2)&P8(Alto)&P8(Violin 2),"P8(Contrabassoon)&P8(D, A Timpani)&U(Tenor)&P8(Bass)&P8(Contrabass)","P8(Contrabassoon)&P8(D, A Timpani)&P8(Tenor)&P8(Bass)&P8(Violoncello)"
3567.5,3575.0,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Viola)&P8(Violoncello)&P8(Contrabass),,,,,"P8(D, A Timpani)",,P8(Tenor Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),P8(D Trumpet 1),P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,P8(Alto)&P8(Tenor)&P8(Bass),P8(Soprano)&P8(Tenor)&P8(Bass),P8(Soprano)&P8(Alto)&P8(Bass),P8(Soprano)&P8(Alto)&P8(Tenor),Main Part,P8(Main),P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Contrabassoon)&U(Viola)&P8(Contrabass),P8(Contrabassoon)&P8(Viola)&P8(Violoncello)
3575.0,3583.0,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 2),P8(D Horn 1),,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(Tenor Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),P8(D Trumpet 1)&P8(D Trumpet 2),P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,P8(Alto)&P8(Tenor)&P8(Bass),P8(Soprano)&U(Tenor)&P8(Bass),P8(Soprano)&U(Alto)&P8(Bass),P8(Soprano)&P8(Alto)&P8(Tenor),Main Part,P8(Contrabassoon)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
3583.0,3587.0,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 2),P8(D Horn 1),,,P8(D Trumpet 2),P8(D Trumpet 1),U(Tenor Trombone)&P8(Bass Trombone),U(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),,P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,P8(Alto)&P8(Tenor)&P8(Bass),P8(Soprano)&U(Tenor)&P8(Bass),P8(Soprano)&U(Alto)&P8(Bass),P8(Soprano)&P8(Alto)&P8(Tenor),Main Part,P8(Contrabassoon)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
3587.0,3591.0,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(D Horn 1)&P8(D Horn 2),P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1),,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",U(Tenor Trombone)&P8(Bass Trombone),U(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),P8(D Trumpet 1)&P8(D Trumpet 2),P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,,,,,Main Part,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
3591.0,3599.0,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(D Horn 1)&P8(D Horn 2),P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1),,,P8(D Trumpet 2),P8(D Trumpet 1),U(Tenor Trombone)&P8(Bass Trombone),U(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),,P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,P8(Alto)&P8(Tenor)&P8(Bass),P8(Soprano)&U(Tenor)&P8(Bass),P8(Soprano)&U(Alto)&P8(Bass),P8(Soprano)&P8(Alto)&P8(Tenor),Main Part,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
3599.0,3607.0,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(D Horn 1)&P8(D Horn 2),U(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 2),P8(Piccolo)&P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1),,,P8(D Trumpet 2),P8(D Trumpet 1),U(Tenor Trombone)&P8(Bass Trombone),U(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),,P2(Cymbals)&P3(Bass Drum),P2(Triangle)&P2(Bass Drum),P3(Triangle)&P2(Cymbals),,,,,P8(Alto)&P8(Tenor)&P8(Bass),P8(Soprano)&U(Tenor)&P8(Bass),P8(Soprano)&U(Alto)&P8(Bass),P8(Soprano)&P8(Alto)&P8(Tenor),Main Part,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
