qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
561.5,564.5,U(Flute 2)&P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),Main Part,P8(Flute 1)&P8(Flute 2)&U(Main)&U(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Main)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Main)&U(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,P3(E Horn 2)&P5(Violin 1)&P8(Violin 2)&P5(Viola),P3(E Horn 1)&P7(Violin 1)&P3(Violin 2)&P7(Viola),,,,,P8(Violoncello)&P8(Contrabass),P3(Trombone 3),P3(Trombone 2),,P5(E Horn 1)&P7(E Horn 2)&P5(Violin 2)&P8(Viola),P8(E Horn 1)&P3(E Horn 2)&P5(Violin 1)&P5(Viola),P5(E Horn 1)&P7(E Horn 2)&P8(Violin 1)&P5(Violin 2),P8(Trombone 1)&P8(Contrabass),P8(Trombone 1)&P8(Violoncello)
564.5,567.5,P5(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2),P5(Flute 1)&P5(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P5(Flute 2)&P5(Oboe 2)&U(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2),P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P5(A Clarinet 1)&U(A Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P5(Flute 2)&U(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2),P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P5(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2),P5(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1),,,,,,,,,P4(Violoncello)&P4(Contrabass),,,Main Part,,,P4(Trombone 2)&P8(Contrabass),P4(Trombone 2)&P8(Violoncello)
567.5,569.5,P8(Main)&P8(A Clarinet 1)&P8(Bassoon 1),P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),Main Part,P8(Flute 2)&U(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(Main)&P8(Bassoon 1),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Main)&P8(A Clarinet 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2),,,,,,,,P2(Trombone 2)&P5(Trombone 3),P2(Trombone 1)&P4(Trombone 3),P5(Trombone 1)&P4(Trombone 2),,P8(Violin 2),P8(Violin 1),,,
569.5,573.5,P8(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 1),P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1)&P8(Bassoon 1),P8(Flute 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 1),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2),,,,,,,,,,,,Main Part,P8(Main),,,
573.5,576.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),Main Part,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,U(E Horn 2),U(E Horn 1),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
576.0,582.0,,P8(A Clarinet 2),,,P8(Bassoon 1),P8(Flute 2),P8(A Clarinet 1),,,U(E Horn 2),U(E Horn 1),,,,,,,,,Main Part,,,,
582.0,588.0,P8(Oboe 1),P8(Oboe 2)&P8(A Clarinet 2),P8(Flute 1),P8(Flute 2)&U(A Clarinet 2),,P8(Flute 2)&U(Oboe 2),,,,U(E Horn 2),U(E Horn 1),,,,,,,,,Main Part,,,,
588.0,599.0,P8(Oboe 1)&P8(A Clarinet 1),P8(Oboe 2)&P8(A Clarinet 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
599.0,600.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P8(Timpani)&U(Violin 1)&U(Violin 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P8(Timpani)&U(Violin 1)&U(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P8(Timpani)&U(Violin 1)&U(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P8(Timpani)&U(Violin 1)&U(Violin 2),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(Contrabassoon)&P5(E Horn 1)&P5(E Horn 2)&P3(C Horn 3)&P5(C Horn 4)&P5(Timpani)&P5(Violin 1)&P5(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Contrabassoon)&P3(E Horn 1)&P3(E Horn 2)&U(C Horn 3)&P3(C Horn 4)&P3(Timpani)&P3(Violin 1)&P3(Violin 2),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P5(Contrabassoon)&P5(E Horn 1)&P5(E Horn 2)&P3(C Horn 3)&P5(C Horn 4)&P5(Timpani)&P5(Violin 1)&P5(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Contrabassoon)&P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P3(C Horn 4)&P3(Timpani)&P3(Violin 1)&P3(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P8(Timpani)&P8(Violin 1)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&U(E Horn 2)&P3(C Horn 3)&U(C Horn 4)&U(Timpani)&P8(Violin 1)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&U(E Horn 1)&P3(C Horn 3)&U(C Horn 4)&U(Timpani)&P8(Violin 1)&P8(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Contrabassoon)&P3(E Horn 1)&P3(E Horn 2)&P3(C Horn 4)&P3(Timpani)&P3(Violin 1)&P3(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&U(E Horn 1)&U(E Horn 2)&P3(C Horn 3)&U(Timpani)&P8(Violin 1)&P8(Violin 2),,,,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&U(E Horn 1)&U(E Horn 2)&P3(C Horn 3)&U(C Horn 4)&P8(Violin 1)&P8(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P8(Timpani)&U(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P8(Timpani)&U(Violin 1),Main Part,P8(Contrabass),P8(Violoncello)
600.0,604.0,Main Part,U(Main)&U(Violin 1),,P8(C Horn 4),P8(Bassoon 1),P8(Bassoon 2)&P3(Viola),P8(A Clarinet 1),P8(A Clarinet 2)&P3(Viola),U(Contrabass),U(E Horn 2)&U(Timpani),U(E Horn 1)&U(Timpani),,P8(Oboe 2),,,U(Trombone 2)&P8(Trombone 3),U(Trombone 1)&P8(Trombone 3),P8(Trombone 1)&P8(Trombone 2),U(E Horn 1)&U(E Horn 2),U(Main)&U(Flute 2),,P3(A Clarinet 2)&P3(Bassoon 2),,U(Contrabassoon)
604.0,606.0,U(Flute 2)&P8(Oboe 2)&U(Violin 1)&P8(Violin 2),U(Flute 1)&P8(Oboe 2)&U(Violin 1)&P8(Violin 2),P3(A Clarinet 2)&P3(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Violin 1)&P8(Violin 2),P8(Bassoon 1),P3(Oboe 1)&P8(Bassoon 2),P8(A Clarinet 1),P3(Oboe 1)&P8(A Clarinet 2),P8(C Horn 3)&P8(C Horn 4)&P4(Viola)&P8(Violoncello)&U(Contrabass),P6(E Horn 2)&P6(Timpani),P6(E Horn 1)&P8(Timpani),P8(Contrabassoon)&P8(C Horn 4)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(C Horn 3)&P4(Viola)&P8(Violoncello)&P8(Contrabass),,,Main Part,U(Main)&P8(Trombone 3),P8(Main)&P8(Trombone 2),P6(E Horn 1)&P8(E Horn 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Violin 1),P4(Contrabassoon)&P4(C Horn 3)&P4(C Horn 4)&P4(Violoncello)&P4(Contrabass),P8(Contrabassoon)&P8(C Horn 3)&P8(C Horn 4)&P4(Viola)&P8(Contrabass),U(Contrabassoon)&P8(C Horn 3)&P8(C Horn 4)&P4(Viola)&P8(Violoncello)
606.0,610.0,Main Part,U(Main)&U(Violin 1)&P8(Violin 2),,,P8(Bassoon 1)&P8(E Horn 1),P8(Bassoon 2)&P6(Viola),P8(A Clarinet 1)&P8(E Horn 1),P8(A Clarinet 2)&P6(Viola),U(Contrabass),P8(A Clarinet 1)&P8(Bassoon 1),,P8(C Horn 4),P8(C Horn 3),P8(E Trumpet 2),P8(E Trumpet 1),U(Trombone 2)&P8(Trombone 3),U(Trombone 1)&P8(Trombone 3),P8(Trombone 1)&P8(Trombone 2),,U(Main)&U(Flute 2)&P8(Violin 2),P8(Main)&P8(Flute 2)&P8(Violin 1),P6(A Clarinet 2)&P6(Bassoon 2),,U(Contrabassoon)
610.0,617.0,P8(Bassoon 1),P8(Bassoon 2),P8(Violin 1),,,,P8(Flute 1),P8(Flute 2),P8(Violoncello)&U(Contrabass),,,P8(C Horn 4),P8(C Horn 3),P8(E Trumpet 2),P8(E Trumpet 1),Main Part,P8(Main)&P8(Trombone 3),P8(Main)&P8(Trombone 2),,P8(Oboe 1),,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
617.0,624.0,Main Part,P8(Oboe 2),P8(Main)&P8(Bassoon 1),P8(Flute 2),,P8(Bassoon 2),P8(Main)&P8(Oboe 1),P8(A Clarinet 2),U(Contrabass),,,P8(C Horn 4)&P8(Trombone 3),P8(C Horn 3)&P8(Trombone 3),P8(E Trumpet 2)&P8(Timpani),P8(E Trumpet 1)&P8(Timpani),P8(Trombone 2),P8(Trombone 1),P8(C Horn 3)&P8(C Horn 4),P8(E Trumpet 1)&P8(E Trumpet 2),,,,,U(Contrabassoon)
624.0,636.5,Main Part,,,,,,,,P8(C Horn 3)&P8(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P3(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani),U(E Horn 2),U(E Horn 1),P8(Contrabassoon)&U(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P3(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&U(Timpani),P8(Contrabassoon)&U(C Horn 3)&P8(E Trumpet 1)&P8(E Trumpet 2)&P3(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&U(Timpani),P8(Contrabassoon)&P8(C Horn 3)&P8(C Horn 4)&P8(E Trumpet 2)&P3(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani),P8(Contrabassoon)&P8(C Horn 3)&P8(C Horn 4)&P8(E Trumpet 1)&P3(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani),P3(Contrabassoon)&P3(C Horn 3)&P3(C Horn 4)&P3(E Trumpet 1)&P3(E Trumpet 2)&P8(Trombone 2)&P3(Trombone 3)&P3(Timpani),P3(Contrabassoon)&P3(C Horn 3)&P3(C Horn 4)&P3(E Trumpet 1)&P3(E Trumpet 2)&P8(Trombone 1)&P3(Trombone 3)&P3(Timpani),P8(Contrabassoon)&P8(C Horn 3)&P8(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P3(Trombone 1)&P3(Trombone 2)&P8(Timpani),P8(Contrabassoon)&U(C Horn 3)&U(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P3(Trombone 1)&P3(Trombone 2)&P8(Trombone 3),,,,,
636.5,639.5,P8(A Clarinet 1),P8(A Clarinet 2),Main Part,,P8(Flute 1),P8(Flute 2),,,,P8(Main)&U(E Horn 2),P8(Main)&U(E Horn 1),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
639.5,642.5,P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 2)&P4(E Horn 1)&P8(E Horn 2),P8(Oboe 1)&P4(E Horn 1)&P8(E Horn 2),P8(Flute 1),P8(Flute 2),,,,P4(Oboe 1)&P4(Oboe 2)&P4(E Horn 2),P8(Oboe 1)&P8(Oboe 2)&P4(E Horn 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
642.5,645.5,P3(Flute 2),P3(Flute 1),Main Part,,P3(A Clarinet 2),P3(A Clarinet 1),,,,,P8(Main),,,,,,,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
645.5,648.0,P3(Flute 2),P3(Flute 1),,,P3(A Clarinet 2),P3(A Clarinet 1),,,,U(E Horn 2),U(E Horn 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
648.0,663.0,P8(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 1),P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(A Clarinet 1)&P8(Bassoon 1),P8(Flute 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2),,Main Part,,,,P8(E Trumpet 2)&P8(Timpani),P8(E Trumpet 1)&P8(Timpani),,,,P8(E Trumpet 1)&P8(E Trumpet 2),,,,,
663.0,673.0,P8(Main)&P8(A Clarinet 1),P8(Oboe 2)&P8(A Clarinet 2),Main Part,P8(Flute 2)&U(A Clarinet 2),P8(Flute 1)&U(Main),P8(Flute 2)&U(Oboe 2),P8(Viola),,P6(Trombone 1)&P3(Trombone 2)&P8(Trombone 3),,,,,P8(E Trumpet 2),P8(E Trumpet 1),P6(Contrabassoon)&P4(Trombone 2)&P6(Trombone 3),P3(Contrabassoon)&P4(Trombone 1)&P3(Trombone 3),P8(Contrabassoon)&P6(Trombone 1)&P3(Trombone 2),,P8(Violin 2),P8(Violin 1),P8(Bassoon 1),,
673.0,694.0,Main Part,P8(A Clarinet 2),,,P8(Main),P8(Flute 2),,P8(Contrabassoon)&U(Trombone 3)&P8(Contrabass),P8(Bassoon 2)&P8(Trombone 3)&U(Contrabass),P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani),P8(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2)&U(Timpani),P8(C Horn 4),P8(C Horn 3),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 2)&P8(Timpani),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(Timpani),,,U(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(E Horn 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Violin 2),P8(Violin 1),,,P8(Bassoon 2)&U(Contrabassoon)&P8(Trombone 3)
694.0,709.0,P8(A Clarinet 1),,Main Part,,P8(Flute 1),,P8(Viola),,P8(Trombone 3)&P8(Violoncello)&U(Contrabass),,,,P8(E Trumpet 2),,P8(C Horn 4),,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),,P8(Main),,P8(Bassoon 1),P8(Contrabassoon)&P8(Trombone 3)&P8(Contrabass),U(Contrabassoon)&P8(Trombone 3)&P8(Violoncello)
709.0,720.0,P8(A Clarinet 1),P8(A Clarinet 2),Main Part,,P8(Flute 1),P8(Flute 2),,,P8(Violoncello)&U(Contrabass),P8(E Horn 2),P8(E Horn 1),,,P8(E Trumpet 2),P8(E Trumpet 1),,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
720.0,726.0,,,P3(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(Contrabassoon)&P8(Trombone 1)&P3(Trombone 2)&P3(Trombone 3)&P8(Timpani),P3(Oboe 1)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Contrabassoon)&P3(Trombone 1)&P8(Trombone 2)&P5(Trombone 3)&P3(Timpani),,,P8(Oboe 1)&P3(Oboe 2)&U(Bassoon 2)&P3(Contrabassoon)&U(Trombone 1)&P3(Trombone 2)&P3(Trombone 3)&P8(Timpani),P8(Oboe 1)&P3(Oboe 2)&U(Bassoon 1)&P3(Contrabassoon)&U(Trombone 1)&P3(Trombone 2)&P3(Trombone 3)&P8(Timpani),P3(Oboe 1)&P5(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Trombone 1)&P5(Trombone 2)&P8(Trombone 3)&P3(Timpani),Main Part,P3(C Horn 4)&P3(Contrabass),,P3(E Horn 2)&P8(Contrabass),,,P8(Oboe 1)&P3(Oboe 2)&U(Bassoon 1)&U(Bassoon 2)&P3(Contrabassoon)&P3(Trombone 2)&P3(Trombone 3)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Contrabassoon)&P3(Trombone 1)&P5(Trombone 3)&P3(Timpani),P3(Oboe 1)&P5(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(Contrabassoon)&P3(Trombone 1)&P5(Trombone 2)&P3(Timpani),P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(Contrabassoon)&P8(Trombone 1)&P3(Trombone 2)&P3(Trombone 3),,,,,P3(E Horn 2)&P8(C Horn 4)
726.0,732.0,,,P3(Oboe 2),P3(Oboe 1),,,,,,Main Part,,,,,,,,,,,,,,
732.0,744.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),Main Part,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,,,,,,,,,P8(Main),P8(Contrabass),P8(Violoncello)
744.0,747.5,Main Part,P3(Main)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P3(Flute 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,P8(C Horn 4),P8(C Horn 3),,,,,,,,,P8(Violoncello),P8(Viola),
747.5,750.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2),P3(Oboe 2),P3(Oboe 1),P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1),P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,,,,Main Part,P8(Main),
750.0,753.5,,,Main Part,P3(Main)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P3(Oboe 2)&P3(Bassoon 2),P3(Main)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,,,,,
753.5,756.0,,,P3(Oboe 2),P3(Oboe 1),P3(A Clarinet 2)&P8(Violin 1)&P3(Violin 2),P3(A Clarinet 1)&P3(Violin 1)&P8(Violin 2),P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,,P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Violin 2),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Violin 1),Main Part,P8(Main),
756.0,768.0,P3(Flute 2),P3(Flute 1),,,P3(A Clarinet 2),P3(A Clarinet 1),,,,,,,,,,,,,,Main Part,,,,
768.0,792.0,Main Part,,,,P8(Main),,,,,,,,,,,,,,,,,,,
792.0,805.0,Main Part,,,,,,,,,,,,,,,,,,,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
805.0,816.0,P8(A Clarinet 1)&P8(A Clarinet 2)&P8(E Horn 1),,,,P8(Flute 1)&U(A Clarinet 2)&P8(E Horn 1),P8(Flute 1)&U(A Clarinet 1)&P8(E Horn 1),P8(Bassoon 2),P8(Bassoon 1),P8(Violoncello)&U(Contrabass),P8(Flute 1)&P8(A Clarinet 1)&P8(A Clarinet 2),,,,,,,,,,Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
816.0,817.0,,,,,P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1)&P5(E Horn 2)&U(E Trumpet 1)&P5(E Trumpet 2)&P8(Viola),P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2)&P3(E Trumpet 1)&P3(E Trumpet 2)&P3(Viola),P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&U(E Horn 1)&P5(E Horn 2)&P8(E Trumpet 1)&P5(E Trumpet 2)&U(Viola),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(E Horn 1)&P3(E Horn 2)&P3(E Trumpet 1)&P3(E Trumpet 2)&P3(Viola),P8(Main)&U(Contrabass),P8(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P5(E Horn 2)&P8(E Trumpet 1)&P5(E Trumpet 2)&U(Viola),P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(E Horn 1)&P5(E Trumpet 1)&P8(E Trumpet 2)&P5(Viola),,,U(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1)&P5(E Horn 2)&P5(E Trumpet 2)&P8(Viola),P5(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(E Horn 1)&P8(E Horn 2)&P5(E Trumpet 1)&P5(Viola),,,,,P8(Violin 2),P8(Violin 1),P8(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&U(E Horn 1)&P5(E Horn 2)&P8(E Trumpet 1)&P5(E Trumpet 2),Main Part,U(Contrabassoon)&P8(Main)
817.0,823.0,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,P8(Violoncello)&U(Contrabass),,,,,,,,,,,Main Part,P8(Main),,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
