qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1 (orig. E and A),E Horn 2 (orig. E and A),Violin 1,Violin 2,Viola,Violoncello,Contrabass
168.0,176.0,Main Part,,,,,,,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
176.0,177.5,P8(Oboe 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,P8(Flute 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,Main Part,,,,P4(Violin 2),P4(Violin 1),P3(Flute 1)&P3(Oboe 1)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Viola)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Viola)&P8(Violoncello)
177.5,179.0,Main Part,,P8(Main),,,,,,,,P4(Violin 2),P4(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
179.0,180.5,P8(Oboe 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,P8(Flute 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,Main Part,,,,P4(Violin 2),P4(Violin 1),P3(Flute 1)&P3(Oboe 1)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Viola)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Viola)&P8(Violoncello)
180.5,182.0,Main Part,,P8(Main),,,,,,,,P4(Violin 2),P4(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
182.0,183.5,P8(Oboe 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,P8(Flute 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,,Main Part,,,,P4(Violin 2),P4(Violin 1),P3(Flute 1)&P3(Oboe 1)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Viola)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Viola)&P8(Violoncello)
183.5,186.0,,,Main Part,,,,U(Viola)&P8(Violoncello)&P8(Contrabass),,,,,,U(Bassoon 1)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Viola)&P8(Violoncello)
186.0,190.5,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
190.5,192.125,P3(Flute 2),P3(Flute 1),Main Part,P8(Main)&P8(Bassoon 1),,,P8(Main)&P8(Oboe 2),,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
192.125,193.5,,,P8(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 1),,,P8(Oboe 1)&P8(Oboe 2),,,,Main Part,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
193.5,195.125,,,Main Part,P8(Main)&P8(Bassoon 1),,,P8(Main)&P8(Oboe 2),,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
195.125,196.0,,,P8(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 1),,,P8(Oboe 1)&P8(Oboe 2),,,,Main Part,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
196.0,198.125,,,Main Part,P8(Main)&P8(Bassoon 1),,,P8(Main)&P8(Oboe 2),,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
198.125,199.0,P8(Violin 2)&P8(Viola),,P8(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 1),,,P8(Oboe 1)&P8(Oboe 2),,,,Main Part,P8(Flute 1)&P8(Viola),P8(Flute 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
199.0,201.125,P8(Violin 2)&P8(Viola),,Main Part,P8(Main)&P8(Bassoon 1),,,P8(Main)&P8(Oboe 2),,,,,P8(Flute 1)&P8(Viola),P8(Flute 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
201.125,202.0,P8(Violin 2)&P8(Viola),,P8(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 1),,,P8(Oboe 1)&P8(Oboe 2),,,,Main Part,P8(Flute 1)&P8(Viola),P8(Flute 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
202.0,205.75,,,Main Part,P8(Bassoon 2),,,P8(Main),P8(Oboe 2),,,,,,P8(Contrabass),P8(Violoncello)
205.75,212.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,Main Part,,,,
212.75,220.5,,,P2(Oboe 2),P2(Oboe 1),,,,,,,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
220.5,228.0,,,,P8(Main),,,,,P8(E Horn 2 (orig. E and A)),P8(E Horn 1 (orig. E and A)),Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
228.0,235.5,P8(Oboe 2),,,P8(Flute 1),,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
235.5,247.0,,,,,P8(Bassoon 1),P8(Bassoon 2)&U(E Horn 1 (orig. E and A))&P6(E Horn 2 (orig. E and A)),P8(A Clarinet 1),P8(A Clarinet 2)&P8(E Horn 1 (orig. E and A))&P6(E Horn 2 (orig. E and A)),U(A Clarinet 2)&P8(Bassoon 2)&P6(E Horn 2 (orig. E and A)),P6(A Clarinet 2)&P6(Bassoon 2)&P6(E Horn 1 (orig. E and A)),Main Part,,,,
