qstamp,tstamp,measure,beat,Oboe d’amore 1,Oboe d’amore 2,Violin 1,Violin 2,Viola,Soprano 1 solo,Alto solo,Continuo
260.0,210.8108,66,1.0,B4,A4,B4,A4,r,E4,E4,E3
260.5,211.2162,66,1.5,E4,G#4,E4,G#4,E4,E4,B4,E2
260.75,211.4189,66,1.75,E4,F#4,E4,F#4,E4,E4,A4,E2
261.0,211.6216,66,2.0,E5,E4,E5,E4,B3,r,G#4,r
261.25,211.8243,66,2.25,E5,D4,E5,D4,B3,r,F#4,r
261.5,212.027,66,2.5,E5,C4,E5,C4,G#3,r,E4,E3
261.75,212.2297,66,2.75,E5,B3,E5,B3,G#3,r,D4,E3
262.0,212.4324,66,3.0,E5,A3,E5,A3,r,A4,C4,A3
262.25,212.6351,66,3.25,D5,A3,D5,A3,r,A4,B3,A3
262.5,212.8378,66,3.5,C5,A3,C5,A3,A4,E5,A3,A2
262.75,213.0405,66,3.75,B4,A3,B4,A3,A4,D5,A3,A2
263.0,213.2432,66,4.0,A4,r,A4,r,E4,C5,A4,r
263.25,213.4459,66,4.25,G4,r,G4,r,E4,B4,A4,r
263.5,213.6486,66,4.5,F#4,C5,F#4,C5,C4,A4,A4,A2
263.75,213.8514,66,4.75,E4,C5,E4,C5,C4,G4,A4,A2
264.0,214.0541,67,1.0,D4,C5,D4,C5,r,F#4,A4,D3
264.25,214.2568,67,1.25,D4,C5,D4,C5,r,E4,A4,D3
264.5,214.4595,67,1.5,D4,B4,D4,B4,F#4,D4,A4,D2
264.75,214.6622,67,1.75,D4,A4,D4,A4,F#4,D4,B4,D2
264.875,214.7635,67,1.875,D4,A4,D4,A4,F#4,D4,C5,D2
265.0,214.8649,67,2.0,r,G4,r,G4,D4,D5,B4,r
265.25,215.0676,67,2.25,r,F#4,r,F#4,D4,D5,A4,r
265.5,215.2703,67,2.5,D5,E4,D5,E4,A3,D5,G4,D3
265.75,215.473,67,2.75,D5,F#4,D5,F#4,A3,D5,F#4,D3
266.0,215.6757,67,3.0,D5,D4,D5,D4,r,D5,B4,G3
266.25,215.8784,67,3.25,F5,D4,F5,D4,r,D5,B4,G3
266.5,216.0811,67,3.5,E5,D4,E5,D4,B4,D5,G4,G2
266.75,216.2838,67,3.75,D5,D4,D5,D4,B4,E5,G4,G2
266.875,216.3851,67,3.875,D5,D4,D5,D4,B4,F5,G4,G2
267.0,216.4865,67,4.0,C5,r,C5,r,G4,E5,B4,r
267.25,216.6892,67,4.25,B4,r,B4,r,G4,D5,B4,r
267.5,216.8919,67,4.5,A4,F4,A4,F4,D4,C5,D5,G3
267.75,217.0946,67,4.75,B4,F4,B4,F4,D4,B4,D5,G3
268.0,217.2973,68,1.0,C5,E4,C5,E4,C4,E5,G4,C4
268.5,217.7027,68,1.5,C5,E4,C5,E4,C4,C5,G4,C3
268.75,217.9054,68,1.75,C5,E4,C5,E4,C4,C5,A4,C3
268.875,218.0068,68,1.875,C5,E4,C5,E4,C4,C5,B4,C3
269.0,218.1081,68,2.0,r,r,r,r,r,E5,A4,C4
269.5,218.5135,68,2.5,D5,B4,D5,B4,G4,G5,G4,B3
269.75,218.7162,68,2.75,D5,B4,D5,B4,G4,G5,G4,B3
270.0,218.9189,68,3.0,E5,C5,E5,C5,G4,C5,G4,A3
270.25,219.1216,68,3.25,C5,C5,C5,C5,G4,C5,G4,A3
270.5,219.3243,68,3.5,B4,C5,B4,C5,F#4,C5,F#4,B3
270.75,219.527,68,3.75,A4,C5,A4,C5,F#4,D5,F#4,C4
270.875,219.6284,68,3.875,A4,C5,A4,C5,F#4,E5,F#4,C4
271.0,219.7297,68,4.0,F#5,r,F#5,r,r,D5,r,D4
271.5,220.1351,68,4.5,F#5,C5,F#5,C5,D4,C5,r,D3
271.75,220.3378,68,4.75,G5,C5,G5,C5,D4,C5,r,D3
272.0,220.5405,69,1.0,G5,C5,G5,C5,D4,C5,r,G3
272.5,220.9459,69,1.5,G5,B4,G5,B4,D4,B4,D4,F#3
273.0,221.3514,69,2.0,r,r,r,r,r,r,E4,G3
273.5,221.7568,69,2.5,r,r,r,r,r,r,F#4,A3
274.0,222.1622,69,3.0,r,r,r,r,r,r,G4,B-3
274.5,222.5676,69,3.5,r,r,r,r,r,F#4,C5,A3
275.0,222.973,69,4.0,r,r,r,r,r,G4,B-4,G3
275.5,223.3784,69,4.5,r,r,r,r,r,A4,A4,F3
276.0,223.7838,70,1.0,G5,B-4,G5,B-4,E-4,B-4,G4,E-3
276.5,224.1892,70,1.5,G5,B-4,G5,B-4,B-4,E-5,G4,E-3
277.0,224.5946,70,2.0,r,r,r,r,G#4,D5,F4,r
277.5,225.0,70,2.5,G5,E-5,G5,E-5,G4,C5,E-4,r
278.0,225.4054,70,3.0,G#5,D5,G#5,D5,F4,B-4,F4,r
278.5,225.8108,70,3.5,G5,E-5,G5,E-5,E-4,B-4,G4,E-3
279.0,226.2162,70,4.0,r,r,r,r,r,B4,F4,D3
279.5,226.6216,70,4.5,r,r,r,r,r,C5,G#4,C3
280.0,227.027,71,1.0,F5,D5,F5,D5,G#4,D5,G#4,B2
280.5,227.4324,71,1.5,F5,D5,F5,D5,G#4,E-5,G4,B2
281.0,227.8378,71,2.0,r,r,r,r,r,F5,G#4,r
281.5,228.2432,71,2.5,F5,D5,F5,D5,D4,D5,F4,r
282.0,228.6486,71,3.0,F5,D5,F5,D5,G4,B4,D4,G2
282.25,228.8514,71,3.25,E-5,C5,E-5,C5,G4,B4,D4,G2
282.5,229.0541,71,3.5,F5,D5,F5,D5,B4,G4,D4,G2
283.0,229.4595,71,4.0,r,r,r,r,r,B4,r,r
283.5,229.8649,71,4.5,G5,E-5,G5,E-5,B4,D5,r,r
283.75,230.0676,71,4.75,F5,D5,F5,D5,B4,D5,r,r
284.0,230.2703,72,1.0,E-5,C5,E-5,C5,G4,E-5,r,C3
284.5,230.6757,72,1.5,D5,B-4,D5,B-4,G4,E-5,C4,C3
284.75,230.8784,72,1.75,D5,B-4,D5,B-4,G4,F5,C4,C3
284.875,230.9797,72,1.875,D5,B-4,D5,B-4,G4,G5,C4,C3
285.0,231.0811,72,2.0,C5,G#4,C5,G#4,r,C5,E-4,r
285.5,231.4865,72,2.5,B-4,G4,B-4,G4,r,E-5,G4,r
286.0,231.8919,72,3.0,A4,F#4,A4,F#4,D4,E-5,F#4,D3
286.5,232.2973,72,3.5,A4,F#4,A4,F#4,D4,E-5,C5,D3
287.0,232.7027,72,4.0,F#5,D5,F#5,D5,D4,D5,B-4,r
287.5,233.1081,72,4.5,F#5,D5,F#5,D5,D4,C5,A4,r
288.0,233.5135,73,1.0,r,r,r,r,r,B-4,G4,r
288.5,233.9189,73,1.5,r,r,r,r,r,B-4,A4,E-3
288.75,234.1216,73,1.75,r,r,r,r,r,B-4,F#4,E-3
289.0,234.3243,73,2.0,G5,D5,G5,D5,B-4,B-4,G4,D3
289.5,234.7297,73,2.5,G5,D5,G5,D5,B-4,B-4,G4,C#3
290.0,235.1351,73,3.0,r,r,r,r,r,A4,F#4,D3
290.5,235.5405,73,3.5,C6,r,C6,r,r,A4,F#4,D3
291.0,235.9459,73,4.0,A5,r,A5,r,r,r,r,r
291.5,236.3514,73,4.5,F#5,r,F#5,r,r,r,r,r
292.0,236.7568,74,1.0,D5,r,D5,r,r,D4,r,r
292.5,237.1622,74,1.5,C5,C5,C5,C5,C5,F#4,r,r
293.0,237.5676,74,2.0,A4,A4,A4,A4,A4,F#4,D4,r
293.5,237.973,74,2.5,F#4,F#4,F#4,F#4,F#4,A4,F#4,r
294.0,238.3784,74,3.0,D4,D4,D4,D4,D4,A4,F#4,r
294.5,238.7838,74,3.5,D4,D4,D4,D4,D4,C5,A4,A3
294.75,238.9865,74,3.75,D4,D4,D4,D4,D4,B-4,G4,A3
295.0,239.1892,74,4.0,F#5,D5,F#5,D5,A4,C5,A4,F#3
295.5,239.5946,74,4.5,F#5,D5,F#5,D5,A4,C5,A4,D3
296.0,240.0,75,1.0,r,r,r,r,r,C5,A4,B-2
296.5,240.4054,75,1.5,r,r,r,r,r,B-4,G4,D3
296.75,240.6081,75,1.75,r,r,r,r,r,A4,F#4,D3
297.0,240.8108,75,2.0,G5,B-4,G5,B-4,D4,B-4,G4,r
297.5,241.2162,75,2.5,G5,B-4,G5,B-4,D4,G4,E-4,G2
298.0,241.6216,75,3.0,r,r,r,r,r,G4,C#4,A2
298.5,242.027,75,3.5,r,r,r,r,r,G4,D4,B-2
298.75,242.2297,75,3.75,r,r,r,r,r,G4,D4,A2
299.0,242.4324,75,4.0,r,r,r,r,r,G4,G3,B-2
299.5,242.8378,75,4.5,r,r,r,r,r,G4,E-4,C3
300.0,243.2432,76,1.0,r,r,r,r,r,G4,B-3,D3
300.5,243.6486,76,1.5,r,r,r,r,r,F#4,B-3,C3
300.75,243.8514,76,1.75,r,r,r,r,r,E4,B-3,C3
301.0,244.0541,76,2.0,r,r,r,r,r,F#4,A3,D3
301.5,244.4595,76,2.5,r,r,r,r,r,F#4,G3,D2
302.0,244.8649,76,3.0,r,r,r,r,r,G4,G3,G2
302.5,245.2703,76,3.5,r,r,r,r,r,G4,G3,G3
302.75,245.473,76,3.75,r,r,r,r,r,G4,G3,F#3
303.0,245.6757,76,4.0,F5,D5,F5,D5,B4,r,r,G3
303.25,245.8784,76,4.25,F5,D5,F5,D5,B4,r,r,D3
303.5,246.0811,76,4.5,F5,D5,F5,D5,B4,r,r,B2
303.75,246.2838,76,4.75,F5,D5,F5,D5,B4,r,r,D3
304.0,246.4865,77,1.0,r,r,r,r,r,r,r,G2
304.5,246.8919,77,1.5,A5,B4,A5,B4,D4,r,r,G2
304.75,247.0946,77,1.75,A5,A4,A5,A4,C4,r,r,G2
305.0,247.2973,77,2.0,G5,B4,G5,B4,D4,r,r,r
305.25,247.5,77,2.25,G5,B4,G5,B4,B3,r,r,r
305.5,247.7027,77,2.5,F5,D5,F5,D5,G3,r,r,G3
305.75,247.9054,77,2.75,F5,D5,F5,D5,B3,r,r,G3
306.0,248.1081,77,3.0,E5,C5,E5,C5,G4,r,r,C3
306.5,248.5135,77,3.5,F#5,B4,F#5,B4,r,r,r,C3
306.75,248.7162,77,3.75,F#5,A4,F#5,A4,r,r,r,C3
307.0,248.9189,77,4.0,G5,B4,G5,B4,E4,r,r,C#3
307.25,249.1216,77,4.25,G5,G4,G5,G4,E4,r,r,C#3
307.5,249.3243,77,4.5,G5,E4,G5,E4,E4,r,r,E3
307.75,249.527,77,4.75,G5,G4,G5,G4,E4,r,r,E3
308.0,249.7297,78,1.0,r,C#4,r,C#4,r,r,r,A2
308.5,250.1351,78,1.5,B5,C#5,B5,C#5,E4,r,r,A2
308.75,250.3378,78,1.75,B5,B4,B5,B4,D4,r,r,A2
309.0,250.5405,78,2.0,A5,C#5,A5,C#5,E4,r,r,r
309.25,250.7432,78,2.25,A5,C#5,A5,C#5,C#4,r,r,r
309.5,250.9459,78,2.5,G5,E5,G5,E5,A3,r,r,A3
309.75,251.1486,78,2.75,G5,E5,G5,E5,C#4,r,r,A3
310.0,251.3514,78,3.0,F#5,D5,F#5,D5,A4,r,r,D3
310.5,251.7568,78,3.5,A5,F#5,A5,F#5,D4,r,r,C4
310.75,251.9595,78,3.75,A5,F#5,A5,F#5,D4,r,r,B3
311.0,252.1622,78,4.0,C5,A4,C5,A4,E4,r,r,C4
311.25,252.3649,78,4.25,C5,A4,C5,A4,E4,r,r,A3
311.5,252.5676,78,4.5,C5,C5,C5,C5,A3,r,r,F#3
311.75,252.7703,78,4.75,C5,C5,C5,C5,A3,r,r,A3
312.0,252.973,79,1.0,C5,F#4,C5,F#4,A4,r,r,D3
312.25,253.1757,79,1.25,C5,B4,C5,B4,A4,r,r,D3
312.5,253.3784,79,1.5,E5,A4,E5,A4,F#4,r,r,D3
312.75,253.5811,79,1.75,E5,G4,E5,G4,F#4,r,r,D3
313.0,253.7838,79,2.0,D5,A4,D5,A4,D4,r,r,r
313.25,253.9865,79,2.25,D5,F#4,D5,F#4,D4,r,r,r
313.5,254.1892,79,2.5,C5,D4,C5,D4,A3,r,r,D3
313.75,254.3919,79,2.75,C5,F#4,C5,F#4,A3,r,r,D3
314.0,254.5946,79,3.0,B4,G4,B4,G4,G3,r,r,E3
314.5,255.0,79,3.5,B4,G4,B4,G4,E4,r,r,C3
314.75,255.2027,79,3.75,A4,A4,A4,A4,E4,r,r,C3
315.0,255.4054,79,4.0,A4,F#4,A4,F#4,D4,r,r,D3
315.5,255.8108,79,4.5,A4,F#4,A4,F#4,C4,r,r,D2
315.75,256.0135,79,4.75,G4,G4,G4,G4,C4,r,r,D2
316.0,256.2162,80,1.0,G4,G4,G4,G4,B3,r,r,G2
