qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
656.0,657.0,Main Part,,,,,,P8(Main)&U(Bassoon 2),P8(Main)&U(Bassoon 1),,,,,,,,P7(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),P7(Violin 1)&P3(Viola)&P5(Violoncello)&P5(Contrabass),P5(Violin 1)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Contrabass),P3(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Violoncello)
657.0,661.0,P8(Bassoon 1)&P8(Bassoon 2),,,,Main Part,U(Main),P8(Flute 1)&U(Bassoon 2),P8(Flute 1)&U(Bassoon 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
661.0,665.0,Main Part,U(Main)&P8(Bassoon 1)&P8(Bassoon 2),U(Oboe 2),U(Oboe 1),,,P8(Main)&P8(Flute 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&U(Bassoon 1),,,,,,,,,,,,
665.0,668.0,,,Main Part,U(Main),,,,,,,,,,,,,P3(Viola),P3(Violin 2),,
668.0,672.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),,,U(C Horn 4),U(C Horn 3),,,,Main Part,,,,
672.0,674.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P4(Bassoon 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P4(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1)&P4(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Bassoon 1)&P4(Bassoon 2),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P4(Bassoon 2),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(Bassoon 1),,,U(C Horn 4),U(C Horn 3),,,,Main Part,,,,
674.0,676.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P4(Main)&P4(Contrabass),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P4(Main)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P4(Main)&P4(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P4(Main)&P4(Contrabass),,,P8(Viola),,,,U(C Horn 4)&P4(Violin 2),U(C Horn 3)&P4(Violin 2),,,,,P4(C Horn 3)&P4(C Horn 4),P8(Bassoon 1),Main Part,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P8(Main)
676.0,678.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),,,P8(Viola),,,,U(C Horn 4),U(C Horn 3),,,,Main Part,,P8(Bassoon 1),P8(Contrabass),P8(Violoncello)
678.0,680.0,U(Flute 2)&U(Oboe 1)&P8(Oboe 2),U(Flute 1)&U(Oboe 1)&P8(Oboe 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),,,P8(Viola),,,,U(C Horn 4),U(C Horn 3),,,,P8(Violin 2),P8(Violin 1),P8(Bassoon 1),Main Part,P8(Main)
680.0,682.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),,,P8(Viola),,,,U(C Horn 4),U(C Horn 3),,,,Main Part,,P8(Bassoon 1),P8(Contrabass),P8(Violoncello)
682.0,684.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P3(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&P3(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&P3(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P3(Bassoon 2),,,P8(Viola),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2),,,U(C Horn 4)&P3(Violin 2),U(C Horn 3)&P3(Violin 2),,,,,P3(C Horn 3)&P3(C Horn 4),P8(Bassoon 1),Main Part,P8(Main)
684.0,686.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1),,,P8(Viola),P5(Violoncello)&P5(Contrabass),,,U(C Horn 4),U(C Horn 3),,,,Main Part,,P8(Bassoon 1),P5(Bassoon 2)&P8(Contrabass),P5(Bassoon 2)&P8(Violoncello)
686.0,688.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4)&P8(Viola),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4)&P8(Viola),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4)&P8(Viola),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4)&P8(Viola),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 3)&P8(C Horn 4)&P8(Viola),,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&U(C Horn 4)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&U(C Horn 3)&P8(Viola),,,,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4),Main Part,P8(Main)
688.0,690.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1),U(A Clarinet 2),U(A Clarinet 1),U(C Horn 3)&U(C Horn 4)&P4(Violin 2)&P8(Viola),,,,U(Bassoon 1)&U(C Horn 4)&P4(Violin 2)&P8(Viola),U(Bassoon 1)&U(C Horn 3)&P4(Violin 2)&P8(Viola),,,,,P4(Bassoon 1)&P4(C Horn 3)&P4(C Horn 4)&P4(Viola),P8(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4)&P4(Violin 2),Main Part,P8(Main)
690.0,692.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Main)&P4(Violin 2),U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Main)&P4(Violin 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2)&P4(Main)&P4(Violin 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&P4(Main)&P4(Violin 2),,,U(C Horn 4)&P8(Viola),U(C Horn 3)&P8(Viola),,,,Main Part,P4(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(Main),P8(C Horn 3)&P8(C Horn 4),P8(Contrabass),P8(Violoncello)
692.0,694.0,U(Flute 2)&U(Oboe 1)&P8(Oboe 2),U(Flute 1)&U(Oboe 1)&P8(Oboe 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,U(C Horn 4)&P8(Viola),U(C Horn 3)&P8(Viola),,,,P8(Violin 2),P8(Violin 1),P8(C Horn 3)&P8(C Horn 4),Main Part,P8(Main)
694.0,696.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,U(C Horn 4)&P8(Viola),U(C Horn 3)&P8(Viola),,,,Main Part,P8(Main),P8(C Horn 3)&P8(C Horn 4),P8(Contrabass),P8(Violoncello)
696.0,698.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1),P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,U(C Horn 4)&P8(Viola),U(C Horn 3)&P8(Viola),,,,P8(Violin 2),P8(Violin 1),P8(C Horn 3)&P8(C Horn 4),Main Part,P8(Main)
698.0,700.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,U(C Horn 4)&P8(Viola),U(C Horn 3)&P8(Viola),,,,Main Part,P8(Main),P8(C Horn 3)&P8(C Horn 4),P8(Contrabass),P8(Violoncello)
700.0,702.0,U(Flute 2)&U(Oboe 1)&P8(Oboe 2),U(Flute 1)&U(Oboe 1)&P8(Oboe 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,U(C Horn 4)&P8(Violin 1)&P8(Violin 2),U(C Horn 3)&P8(Violin 1)&P8(Violin 2),,,,P8(C Horn 3)&P8(C Horn 4)&P8(Violin 2),P8(C Horn 3)&P8(C Horn 4)&P8(Violin 1),,Main Part,P8(Main)
702.0,704.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1),P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 2),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),,,U(C Horn 4),U(C Horn 3),,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
704.0,706.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2),,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),,,U(C Horn 4),U(C Horn 3),,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
706.0,708.0,U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 2),P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),,,U(C Horn 4),U(C Horn 3),,,,Main Part,P8(Main),,P8(Bassoon 1)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)
708.0,710.0,Main Part,U(Main)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),U(Main)&U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2),,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),,,U(C Horn 4),U(C Horn 3),,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
710.0,712.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 3)&P4(C Horn 4),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 3)&P4(C Horn 4),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 3)&P4(C Horn 4),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 3)&P4(C Horn 4),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 3)&P4(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P4(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 3)&P4(C Horn 4),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 2)&P7(C Horn 3)&P7(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(C Horn 3)&P4(C Horn 4),,,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P7(Bassoon 1)&P4(Bassoon 2)&U(C Horn 4),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P7(Bassoon 1)&P4(Bassoon 2)&U(C Horn 3),,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
712.0,714.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2)&U(C Horn 3)&U(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(C Horn 3)&U(C Horn 4),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(C Horn 3),,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
714.0,716.0,Main Part,P8(Oboe 2)&P8(A Clarinet 2),P8(Main)&U(A Clarinet 1),P8(Flute 2)&U(A Clarinet 2),P8(Main)&U(Oboe 1),P8(Flute 2)&U(Oboe 2),U(C Horn 3)&U(C Horn 4),,,,U(Bassoon 1)&U(C Horn 4),U(Bassoon 1)&U(C Horn 3),,,,,P2(Violoncello)&P2(Contrabass),,P2(Violin 2)&P8(Contrabass),P2(Violin 2)&P8(Violoncello)
716.0,718.0,P8(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 2),P8(Oboe 2)&P8(A Clarinet 2),P8(Flute 1)&U(A Clarinet 1)&P8(Bassoon 2),P8(Flute 2)&U(A Clarinet 2),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 2),P8(Flute 2)&U(Oboe 2),P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1),U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),U(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Bassoon 1)&U(C Horn 4),P8(Bassoon 1)&U(C Horn 3),P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 2),P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
718.0,720.0,Main Part,P8(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1)&U(E Trumpet 2),P8(Main)&P8(Oboe 2)&U(A Clarinet 1),P8(Main)&P8(Oboe 1)&P8(A Clarinet 1),P8(Main)&U(Oboe 1)&P8(Oboe 2),P8(Flute 2)&U(E Horn 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(C Horn 3)&P8(C Horn 4),,P8(Flute 2)&U(A Clarinet 2)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Flute 2)&U(A Clarinet 2)&U(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Bassoon 1)&U(C Horn 4),P8(Bassoon 1)&U(C Horn 3),U(Flute 2)&P8(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 2),U(Flute 2)&P8(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1),,,U(Viola),U(Violin 2),P8(Contrabass),P8(Violoncello)
720.0,722.0,P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2),P8(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1)&U(E Trumpet 2),P8(Flute 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 2)&U(E Horn 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1),P8(Flute 2)&U(A Clarinet 2)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Flute 2)&U(A Clarinet 2)&U(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Bassoon 1)&U(C Horn 4),P8(Bassoon 1)&U(C Horn 3),U(Flute 2)&P8(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 2),U(Flute 2)&P8(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
722.0,724.0,Main Part,P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1)&U(E Trumpet 2),P8(Main)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2),P8(Main)&P8(Oboe 1)&P8(A Clarinet 1)&U(A Clarinet 2),P8(Main)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2),P8(Main)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1),P8(C Horn 3)&P8(C Horn 4),,P8(Flute 2)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Flute 2)&U(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(Bassoon 1)&U(C Horn 4),P8(Bassoon 1)&U(C Horn 3),U(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 2),U(Flute 2)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1),,,U(Viola),U(Violin 2),P8(Contrabass),P8(Violoncello)
724.0,726.0,P4(E Horn 1)&P4(E Horn 2)&P4(E Trumpet 1)&P4(E Trumpet 2),P4(Oboe 1),P4(Flute 2),,,,P3(E Horn 1)&P3(E Horn 2)&P3(E Trumpet 1)&P3(E Trumpet 2),,P4(Flute 1)&P3(Bassoon 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P4(Flute 1)&P3(Bassoon 1)&U(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),U(C Horn 4)&P8(Violin 2),U(C Horn 3)&P8(Violin 2),P4(Flute 1)&P3(Bassoon 1)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 2),P4(Flute 1)&P3(Bassoon 1)&P8(E Horn 1)&P8(E Horn 2)&U(E Trumpet 1),,Main Part,P8(C Horn 3)&P8(C Horn 4),,P8(Contrabass),P8(Violoncello)
726.0,734.5,Main Part,,P8(Viola),,P8(Violin 1),,P8(Bassoon 2),P8(Bassoon 1),,,P8(C Horn 4),P8(C Horn 3),P8(E Trumpet 2),P8(E Trumpet 1),,P8(A Clarinet 1),,P8(Oboe 1),P8(Contrabass),P8(Violoncello)
734.5,736.5,,,,,,,,,P8(E Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P8(Timpani)&P3(Contrabass),P8(E Horn 1)&P3(C Horn 3)&P3(C Horn 4)&U(Timpani)&P3(Contrabass),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 4)&P3(Timpani)&P8(Contrabass),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P3(Timpani)&P8(Contrabass),,,P8(E Horn 1)&U(E Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P3(Contrabass),P8(Viola),Main Part,P8(Violin 1),P8(Main),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P3(Timpani)
736.5,738.5,,,,,,,,,P8(E Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P8(Timpani)&P3(Contrabass),P8(E Horn 1)&P3(C Horn 3)&P3(C Horn 4)&U(Timpani)&P3(Contrabass),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 4)&P3(Timpani)&P8(Contrabass),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P3(Timpani)&P8(Contrabass),,,P8(E Horn 1)&U(E Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P3(Contrabass),Main Part,P8(Violoncello),P8(Main),P8(Violin 2),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P8(C Horn 4)&P3(Timpani)
