qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,Eb Horn 3,Eb Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
606.0,624.0,P8(Main)&P8(Bb Clarinet 1),,Main Part,,P8(Flute 1)&U(Main),,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Contrabass),,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,,P8(Bassoon 1)&U(Bassoon 2)
624.0,662.5,,,Main Part,,,,,,,,,,,,,,,,,,
662.5,686.5,,,Main Part,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,,,,,,
686.5,703.5,,,Main Part,P8(Main)&P8(Bassoon 1),P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Main)&P8(Oboe 2),,,P8(C Horn 2),P8(C Horn 1),,,P8(C Trumpet 2),P8(C Trumpet 1),,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
703.5,720.0,P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Oboe 2),P8(Oboe 1),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,P8(C Horn 2)&P8(Timpani),P8(C Horn 1)&U(Timpani),,,P8(C Trumpet 2),P8(C Trumpet 1),P8(C Horn 1)&U(C Horn 2),Main Part,,,P8(Contrabass),P8(Violoncello)
720.0,742.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
742.5,754.0,P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Bassoon 2),Main Part,P8(Oboe 1)&P8(Main)&P8(Bassoon 1),P8(Oboe 1)&P8(Main)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,,
754.0,767.5,,,,,Main Part,,,,,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,,
767.5,782.5,Main Part,,U(Oboe 2),U(Oboe 1),,,,,,,,,,,,,,,,,
782.5,785.5,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),P8(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 1),,P8(Bb Clarinet 1)&P4(Bassoon 2)&U(C Horn 1),P4(Bb Clarinet 1)&P4(Bassoon 1)&P4(C Horn 1),,P8(Bb Clarinet 1)&U(Bassoon 1)&P4(Bassoon 2),,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,,
