qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
292.0,146.0,49,3.0,r,r,r,r,r,G4,C4,E3,E3,E3
293.0,146.5,49,3.5,r,r,r,r,r,G4,C4,E3,E3,E3
294.0,147.0,50,1.0,r,r,r,r,r,F#4,C4,F#3,E-3,E-3
295.0,147.5,50,1.5,r,r,r,r,r,F#4,C4,F#3,E-3,E-3
296.0,148.0,50,2.0,r,r,r,r,r,F#4,B3,F#3,D3,D3
297.0,148.5,50,2.5,r,r,r,r,r,F#4,B3,F#3,D3,D3
298.0,149.0,50,3.0,r,r,r,r,r,F4,B3,G#3,D3,D3
299.0,149.5,50,3.5,r,r,r,r,r,F4,B3,G#3,D3,D3
300.0,150.0,51,1.0,r,r,r,r,r,E4,B3,G#3,C#3,C#3
301.0,150.5,51,1.5,r,r,r,r,r,E4,B3,G#3,C#3,C#3
302.0,151.0,51,2.0,r,r,r,r,r,E4,C4,A3,C3,C3
303.0,151.5,51,2.5,r,r,r,r,r,E4,C4,A3,C3,C3
304.0,152.0,51,3.0,r,r,r,r,r,E-4,B-3,G3,C#3,C#3
305.0,152.5,51,3.5,r,r,r,r,r,E-4,B-3,G3,C#3,C#3
306.0,153.0,52,1.0,r,r,r,r,r,D4,A3,G3,D3,D3
307.0,153.5,52,1.5,r,r,r,r,r,D4,A3,G3,D3,D3
308.0,154.0,52,2.0,r,r,r,r,r,C4,A3,G3,D3,D2
309.0,154.5,52,2.5,r,r,r,r,r,B3,A3,G3,D3,D2
310.0,155.0,52,3.0,r,r,r,r,r,C4,A3,F#3,D3,D2
311.0,155.5,52,3.5,r,r,r,r,r,C4,A3,F#3,D3,D2
