qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
120.0,41.8605,16,1.0,F#5,F#5,F#5,G#4,r,F#5,G#4,C4,F#5,G#4,C4,r,G#2
121.0,42.2093,16,1.5,F#5,F#5,F#5,G#4,r,F#5,G#4,G#3,F#5,G#4,G#3,r,G#3
122.0,42.5581,16,2.0,E5,E5,E5,G#4,r,E5,G#4,C#4,E5,G#4,C#4,r,B-3
123.0,42.907,16,2.5,E-5,E-5,E-5,G#4,r,E-5,G#4,E-4,E-5,G#4,E-4,r,C4
124.0,43.2558,16,3.0,C#5,C#5,C#5,G#4,r,C#5,G#4,E4,C#5,G#4,E4,r,C#4
125.0,43.6047,16,3.5,C#5,C#5,C#5,G#4,r,C#5,G#4,E4,C#5,G#4,E4,r,E3
126.0,43.9535,16,4.0,C5,C5,C5,G#4,r,C5,G#4,E-4,C5,G#4,E-4,r,F#3
127.0,44.3023,16,4.5,C5,C5,C5,G#4,r,C5,G#4,E-4,C5,G#4,E-4,r,G#3
128.0,44.6512,17,1.0,C#5,C#5,C#5,G#4,r,C#5,G#4,C#4,C#5,G#4,C#4,r,A3
129.0,45.0,17,1.5,C#5,C#5,C#5,F#4,r,C#5,F#4,C#4,C#5,F#4,C#4,r,A3
130.0,45.3488,17,2.0,C#5,C#5,C#5,F#4,r,C#5,F#4,E4,C#5,F#4,E4,r,B-3
131.0,45.6977,17,2.5,C#5,C#5,C#5,E4,r,C#5,E4,B-3,C#5,E4,B-3,r,B-3
132.0,46.0465,17,3.0,C#5,C#5,C#5,E-4,r,C#5,E-4,B3,C#5,E-4,B3,r,B3
133.0,46.3953,17,3.5,B4,B4,B4,F4,r,B4,F4,B3,B4,F4,B3,r,B3
134.0,46.7442,17,4.0,A4,A4,A4,F#4,r,A4,F#4,C4,A4,F#4,C4,r,C4
135.0,47.093,17,4.5,G#4,G#4,G#4,F#4,r,G#4,F#4,C4,G#4,F#4,C4,r,C4
136.0,47.4419,18,1.0,A4,A4,A4,F#4,r,A4,F#4,C#4,A4,F#4,C#4,r,C#4
138.0,48.1395,18,2.0,G#4,G#4,G#4,F4,r,G#4,F4,C#4,G#4,F4,C#4,r,C#3
139.0,48.4884,18,2.5,A4,A4,A4,F4,r,A4,F4,C#4,A4,F4,C#4,r,C#4
140.0,48.8372,18,3.0,B4,B4,B4,F#4,r,B4,F#4,D4,B4,F#4,D4,r,D4
141.0,49.186,18,3.5,B4,B4,B4,F#4,r,B4,F#4,D4,B4,F#4,D4,r,C#4
142.0,49.5349,18,4.0,B4,B4,B4,G4,r,B4,G4,D4,B4,G4,D4,r,B3
143.0,49.8837,18,4.5,B4,B4,B4,G4,r,B4,G4,D4,B4,G4,D4,r,A3
144.0,50.2326,19,1.0,B4,B4,B4,F4,r,B4,F4,D4,B4,F4,D4,r,G#3
145.0,50.5814,19,1.5,C#5,C#5,C#5,F4,r,C#5,F4,C#4,C#5,F4,C#4,r,A3
146.0,50.9302,19,2.0,D5,D5,D5,F4,r,D5,F4,B3,D5,F4,B3,r,G#3
147.0,51.2791,19,2.5,D5,D5,D5,F#4,r,D5,F#4,A3,D5,F#4,A3,r,F#3
148.0,51.6279,19,3.0,D5,D5,D5,G#4,r,D5,G#4,G#3,D5,G#4,G#3,r,F3
149.0,51.9767,19,3.5,D5,D5,D5,F#4,r,D5,F#4,A3,D5,F#4,A3,r,F#3
150.0,52.3256,19,4.0,C#5,C#5,C#5,G#4,r,C#5,G#4,G#3,C#5,G#4,G#3,r,F3
151.0,52.6744,19,4.5,C#5,C#5,C#5,A4,r,C#5,A4,F#3,C#5,A4,F#3,r,E-3
152.0,53.0233,20,1.0,C#5,C#5,C#5,B4,r,C#5,B4,F3,C#5,B4,F3,r,C#3
154.0,53.7209,20,2.0,F#5,F#5,F#5,A4,r,F#5,A4,F#3,F#5,A4,F#3,r,D3
155.0,54.0698,20,2.5,E5,E5,E5,G#4,r,E5,G#4,F#3,E5,G#4,F#3,r,D3
156.0,54.4186,20,3.0,D5,D5,D5,A4,C#4,D5,A4,F#3,D5,A4,F#3,C#4,B2
158.0,55.1163,20,4.0,C#5,C#5,C#5,G#4,r,C#5,G#4,F3,C#5,G#4,F3,r,C#3
159.0,55.4651,20,4.5,B4,B4,B4,G#4,r,B4,G#4,F3,B4,G#4,F3,r,C#3
160.0,55.814,21,1.0,A4,A4,A4,F#4,r,A4,F#4,F#3,A4,F#4,F#3,r,F#3
161.0,56.1628,21,1.5,B4,B4,B4,F#4,r,B4,F#4,F#3,B4,F#4,F#3,r,F#3
162.0,56.5116,21,2.0,C#5,C#5,C#5,A4,r,C#5,A4,F#3,C#5,A4,F#3,r,F#2
163.0,56.8605,21,2.5,F#4,F#4,F#4,A4,r,F#4,A4,F#3,F#4,A4,F#3,r,F#2
164.0,57.2093,21,3.0,E-5,E-5,E-5,A4,r,E-5,A4,F#3,E-5,A4,F#3,r,B2
166.0,57.907,21,4.0,E5,E5,E5,G4,r,E5,G4,G3,E5,G4,G3,r,B2
167.0,58.2558,21,4.5,F#5,F#5,F#5,F#4,r,F#5,F#4,A3,F#5,F#4,A3,r,B2
168.0,58.6047,22,1.0,G5,G5,G5,E4,r,G5,E4,B3,G5,E4,B3,r,B2
170.0,59.3023,22,2.0,F#5,F#5,F#5,E-4,r,F#5,E-4,A3,F#5,E-4,A3,r,C3
172.0,60.0,22,3.0,E5,E5,E5,E4,r,E5,E4,G#3,E5,E4,G#3,r,C#3
173.0,60.3488,22,3.5,E5,E5,E5,E4,r,E5,E4,G#4,E5,E4,G#4,r,C#3
174.0,60.6977,22,4.0,D5,D5,D5,B4,r,D5,B4,G#4,D5,B4,G#4,r,B2
175.0,61.0465,22,4.5,D5,D5,D5,B4,r,D5,B4,F#4,D5,B4,F#4,r,A2
